
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.078116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.092717,0.3300,0.1523,0.8784,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.094287,0.3571,0.1388,0.8958,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.095200,0.3488,0.1429,0.9216,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.096210,0.3497,0.1390,1.0192,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.097197,0.3905,0.1327,1.0359,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.098014,0.3906,0.1198,0.9782,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.099095,0.3635,0.1168,0.9112,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.099959,0.3305,0.1209,0.8977,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.100703,0.3438,0.1296,0.8875,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.101710,0.3560,0.0980,0.9642,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.102522,0.3941,0.0829,0.9782,0.0000,0.0000,0.0000,-0.5028,-0.4684,-0.5205,
0.114203,0.3941,0.0829,0.9782,0.0000,0.0000,0.0000,-0.2919,-0.5483,-0.3501,
0.153906,0.3941,0.0829,0.9782,0.0000,0.0000,0.0000,-0.2131,-1.0490,-0.2180,
0.155494,0.3941,0.0829,0.9782,0.0000,0.0000,-0.0000,-0.2131,-1.0490,-0.2180,
0.170079,0.4181,0.1126,0.8468,0.0000,0.0000,-0.0000,-0.2131,-1.0490,-0.2180,
0.172038,0.3631,0.1665,0.7879,0.0000,0.0000,-0.0000,-0.2131,-1.0490,-0.2180,
0.173378,0.3323,0.1890,0.8077,0.0000,0.0000,-0.0000,-0.2131,-1.0490,-0.2180,
0.174387,0.4489,0.1555,0.8588,0.0000,0.0000,-0.0000,-0.2131,-1.0490,-0.2180,
0.194851,0.4489,0.1555,0.8588,0.0000,0.0000,-0.0000,-0.5880,-0.7092,-0.0774,
0.196919,0.4489,0.1555,0.8588,-0.0959,0.3588,-0.5915,-0.5880,-0.7092,-0.0774,
0.235850,0.4489,0.1555,0.8588,-0.0959,0.3588,-0.5915,-0.1321,-0.2043,-0.3501,
