time,gFx,gFy,gFz,TgF
0.003383769,0.1815,0.9922,0.1483,1.019
0.003619923,0.1813,0.9919,0.1488,1.019
0.003744462,0.1805,0.9922,0.1495,1.019
0.003859616,0.1783,0.9941,0.1495,1.021
0.003977154,0.1766,0.9941,0.1485,1.021
0.004089731,0.1739,0.9946,0.1476,1.020
0.005766154,0.1717,0.9924,0.1454,1.018
0.013396039,0.1666,0.9880,0.1434,1.012
0.013619039,0.1659,0.9880,0.1441,1.012
0.013706154,0.1659,0.9863,0.1441,1.010
0.014000346,0.1644,0.9851,0.1441,1.009
0.0157855,0.1603,0.9804,0.1427,1.004
0.017541731,0.1581,0.9777,0.1444,1.001
0.019740039,0.1581,0.9755,0.1449,0.999
0.021540654,0.1561,0.9699,0.1437,0.993
0.024602,0.1571,0.9638,0.1441,0.987
0.027658923,0.1583,0.9621,0.1441,0.986
0.029671423,0.1588,0.9555,0.1429,0.979
0.029833885,0.1600,0.9555,0.1424,0.979
0.031538846,0.1610,0.9526,0.1419,0.976
0.033587385,0.1595,0.9518,0.1388,0.975
0.036519346,0.1590,0.9501,0.1378,0.973
0.037838346,0.1593,0.9492,0.1373,0.972
0.045912885,0.1620,0.9509,0.1366,0.974
0.046366539,0.1642,0.9518,0.1353,0.975
0.046552116,0.1661,0.9523,0.1366,0.976
0.046714423,0.1698,0.9550,0.1356,0.979
0.054204308,0.1725,0.9592,0.1400,0.985
0.054474693,0.1727,0.9602,0.1402,0.986
0.054609885,0.1735,0.9611,0.1412,0.987
0.054735616,0.1747,0.9624,0.1424,0.988
0.056563462,0.1781,0.9643,0.1422,0.991
0.059930231,0.1781,0.9677,0.1446,0.995
0.060163193,0.1779,0.9694,0.1451,0.996
0.062274923,0.1757,0.9726,0.1480,0.999
0.064016269,0.1739,0.9743,0.1522,1.001
0.067862577,0.1744,0.9753,0.1534,1.003
0.070659385,0.1749,0.9826,0.1593,1.011
0.070890769,0.1749,0.9826,0.1593,1.011
0.071561193,0.1759,0.9851,0.1603,1.013
0.074350616,0.1761,0.9861,0.1622,1.015
0.075867539,0.1752,0.9861,0.1617,1.014
0.077714962,0.1744,0.9868,0.1627,1.015
0.079566269,0.1732,0.9865,0.1652,1.015
0.081445077,0.1722,0.9856,0.1661,1.014
0.083519269,0.1717,0.9841,0.1683,1.013
0.0854395,0.1698,0.9814,0.1715,1.011
0.091138846,0.1669,0.9748,0.1749,1.004
0.091336462,0.1669,0.9748,0.1749,1.004
0.093779731,0.1642,0.9729,0.1752,1.002
0.093918154,0.1622,0.9716,0.1759,1.001
0.095549,0.1615,0.9711,0.1761,1.000
0.097427731,0.1571,0.9702,0.1776,0.999
0.099524731,0.1564,0.9697,0.1788,0.998
0.101609616,0.1578,0.9689,0.1818,0.998
0.103529962,0.1573,0.9687,0.1840,0.998
0.105371885,0.1568,0.9685,0.1842,0.998
0.111315539,0.1551,0.9711,0.1857,1.001
0.111482846,0.1551,0.9711,0.1857,1.001
0.111588116,0.1554,0.9711,0.1849,1.001
0.113781231,0.1544,0.9721,0.1835,1.001
0.116117385,0.1524,0.9741,0.1837,1.003
0.118001077,0.1517,0.9765,0.1840,1.005
0.120246154,0.1507,0.9777,0.1835,1.006
0.122899616,0.1515,0.9802,0.1842,1.009
0.126411692,0.1520,0.9836,0.1871,1.013
0.127055231,0.1527,0.9868,0.1871,1.016
0.132237962,0.1520,0.9917,0.1837,1.020
0.132405539,0.1520,0.9917,0.1837,1.020
0.133301423,0.1522,0.9929,0.1823,1.021
0.133597423,0.1515,0.9934,0.1808,1.021
0.135620692,0.1510,0.9956,0.1779,1.023
0.137637154,0.1500,0.9948,0.1769,1.022
0.140271616,0.1498,0.9951,0.1771,1.022
0.142330616,0.1476,0.9951,0.1779,1.022
0.144206731,0.1485,0.9953,0.1825,1.023
0.145433616,0.1485,0.9963,0.1852,1.024
0.150528462,0.1478,0.9985,0.1825,1.026
0.151257539,0.1478,0.9985,0.1825,1.026
0.152983346,0.1473,0.9997,0.1801,1.026
0.154245808,0.1507,1.0005,0.1744,1.027
0.158356346,0.1500,1.0007,0.1727,1.027
0.159206962,0.1485,1.0005,0.1705,1.026
0.162027731,0.1488,1.0005,0.1703,1.026
0.1655975,0.1498,1.0010,0.1705,1.026
