
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.052449,0.0000,0.0000,0.0000,-0.0812,0.3194,-0.6441,0.0000,0.0000,0.0000,
0.111126,0.0000,0.0000,0.0000,0.0871,0.4112,-0.6928,0.0000,0.0000,0.0000,
0.172235,0.0000,0.0000,0.0000,0.1647,0.6349,-0.7938,0.0000,0.0000,0.0000,
0.231968,0.0000,0.0000,0.0000,0.3857,0.5702,-0.7669,0.0000,0.0000,0.0000,
0.291703,0.0000,0.0000,0.0000,0.3857,0.5702,-0.7669,0.4572,0.7139,0.1127,
0.292973,0.0000,0.0000,0.0000,0.7706,0.3623,-0.6619,0.4572,0.7139,0.1127,
0.351621,0.0000,0.0000,0.0000,0.7706,0.3623,-0.6619,0.1542,0.4360,0.0950,
0.352531,0.0000,0.0000,0.0000,1.1074,0.2476,-0.5839,0.1542,0.4360,0.0950,
0.411897,0.0000,0.0000,0.0000,1.1074,0.2476,-0.5839,0.1939,0.3413,-0.0333,
0.412929,0.0000,0.0000,0.0000,1.3390,0.2304,-0.5518,0.1939,0.3413,-0.0333,
0.440072,-0.5690,-0.7039,0.3068,1.3390,0.2304,-0.5518,0.1939,0.3413,-0.0333,
0.472330,-0.5690,-0.7039,0.3068,1.3390,0.2304,-0.5518,0.3704,0.4238,-0.0791,
0.474103,-0.5690,-0.7039,0.3068,-4.3100,-11.2496,-5.6895,0.3704,0.4238,-0.0791,
0.499291,-0.6435,-0.6611,0.3357,-4.3100,-11.2496,-5.6895,0.3704,0.4238,-0.0791,
0.501182,-0.6423,-0.6496,0.3340,-4.3100,-11.2496,-5.6895,0.3704,0.4238,-0.0791,
0.502665,-0.6413,-0.6435,0.3335,-4.3100,-11.2496,-5.6895,0.3704,0.4238,-0.0791,
0.530864,-0.6413,-0.6435,0.3335,-4.3100,-11.2496,-5.6895,0.3600,0.5105,-0.2062,
0.532686,-0.6413,-0.6435,0.3335,-4.6990,-10.7830,-5.3119,0.3600,0.5105,-0.2062,
0.560127,-0.6421,-0.6433,0.3508,-4.6990,-10.7830,-5.3119,0.3600,0.5105,-0.2062,
0.562209,-0.6501,-0.6509,0.3535,-4.6990,-10.7830,-5.3119,0.3600,0.5105,-0.2062,
0.563533,-0.6653,-0.6621,0.3523,-4.6990,-10.7830,-5.3119,0.3600,0.5105,-0.2062,
0.590992,-0.6653,-0.6621,0.3523,-4.6990,-10.7830,-5.3119,0.3503,0.5124,-0.2263,
0.591837,-0.6653,-0.6621,0.3523,-4.5619,-11.0622,-4.9986,0.3503,0.5124,-0.2263,
0.619977,-0.6873,-0.6753,0.3450,-4.5619,-11.0622,-4.9986,0.3503,0.5124,-0.2263,
0.621994,-0.6926,-0.6882,0.3557,-4.5619,-11.0622,-4.9986,0.3503,0.5124,-0.2263,
0.623360,-0.6878,-0.7017,0.3601,-4.5619,-11.0622,-4.9986,0.3503,0.5124,-0.2263,
0.651202,-0.6878,-0.7017,0.3601,-4.5619,-11.0622,-4.9986,0.2849,0.6718,-0.2392,
0.652536,-0.6878,-0.7017,0.3601,-4.3827,-11.5333,-4.7732,0.2849,0.6718,-0.2392,
0.679338,-0.6812,-0.6968,0.3733,-4.3827,-11.5333,-4.7732,0.2849,0.6718,-0.2392,
0.681161,-0.7085,-0.7007,0.3894,-4.3827,-11.5333,-4.7732,0.2849,0.6718,-0.2392,
0.682640,-0.7628,-0.6746,0.3987,-4.3827,-11.5333,-4.7732,0.2849,0.6718,-0.2392,
0.711622,-0.7628,-0.6746,0.3987,-4.3827,-11.5333,-4.7732,0.4590,0.4757,-0.1035,
0.714526,-0.7628,-0.6746,0.3987,-4.6976,-11.3330,-4.2263,0.4590,0.4757,-0.1035,
0.740130,-0.8163,-0.6555,0.3946,-4.6976,-11.3330,-4.2263,0.4590,0.4757,-0.1035,
0.742453,-0.8470,-0.6474,0.3777,-4.6976,-11.3330,-4.2263,0.4590,0.4757,-0.1035,
0.743397,-0.8583,-0.6506,0.3674,-4.6976,-11.3330,-4.2263,0.4590,0.4757,-0.1035,
0.772403,-0.8583,-0.6506,0.3674,-4.6976,-11.3330,-4.2263,0.3545,-0.0777,-0.0889,
0.775037,-0.8583,-0.6506,0.3674,-5.4090,-11.2595,-4.3559,0.3545,-0.0777,-0.0889,
0.800713,-0.8607,-0.6685,0.3418,-5.4090,-11.2595,-4.3559,0.3545,-0.0777,-0.0889,
0.803008,-0.8444,-0.6987,0.2878,-5.4090,-11.2595,-4.3559,0.3545,-0.0777,-0.0889,
0.804151,-0.8126,-0.7591,0.2062,-5.4090,-11.2595,-4.3559,0.3545,-0.0777,-0.0889,
0.831221,-0.8126,-0.7591,0.2062,-5.4090,-11.2595,-4.3559,0.0619,-0.9610,-0.2282,
0.832560,-0.8126,-0.7591,0.2062,-5.1098,-12.3499,-5.9737,0.0619,-0.9610,-0.2282,
0.859169,-0.7684,-0.7884,0.1287,-5.1098,-12.3499,-5.9737,0.0619,-0.9610,-0.2282,
0.860679,-0.6853,-0.7408,0.1048,-5.1098,-12.3499,-5.9737,0.0619,-0.9610,-0.2282,
0.861818,-0.5319,-0.6594,0.0889,-5.1098,-12.3499,-5.9737,0.0619,-0.9610,-0.2282,
0.893917,-0.5319,-0.6594,0.0889,-5.1098,-12.3499,-5.9737,-0.2001,-0.5151,-0.8103,
0.895562,-0.5319,-0.6594,0.0889,-2.5856,-11.2330,-7.2839,-0.2001,-0.5151,-0.8103,
0.919067,-0.3713,-0.6169,0.0699,-2.5856,-11.2330,-7.2839,-0.2001,-0.5151,-0.8103,
0.921526,-0.2551,-0.6599,0.0735,-2.5856,-11.2330,-7.2839,-0.2001,-0.5151,-0.8103,
0.923735,-0.3379,-0.8207,0.1094,-2.5856,-11.2330,-7.2839,-0.2001,-0.5151,-0.8103,
0.951377,-0.3379,-0.8207,0.1094,-2.5856,-11.2330,-7.2839,0.0179,-1.8865,-0.8201,
0.954071,-0.3379,-0.8207,0.1094,-0.7859,-12.4670,-7.3069,0.0179,-1.8865,-0.8201,
0.979854,-0.6032,-1.0254,0.1923,-0.7859,-12.4670,-7.3069,0.0179,-1.8865,-0.8201,
0.982313,-0.9203,-1.1666,0.5522,-0.7859,-12.4670,-7.3069,0.0179,-1.8865,-0.8201,
0.983574,-0.9753,-1.1190,0.9045,-0.7859,-12.4670,-7.3069,0.0179,-1.8865,-0.8201,
1.011691,-0.9753,-1.1190,0.9045,-0.7859,-12.4670,-7.3069,1.1309,-0.4033,0.3186,
1.013224,-0.9753,-1.1190,0.9045,-7.8455,-15.7304,0.4650,1.1309,-0.4033,0.3186,
1.039265,-0.7281,-0.8277,0.8668,-7.8455,-15.7304,0.4650,1.1309,-0.4033,0.3186,
1.040708,-0.6289,-0.7102,0.3125,-7.8455,-15.7304,0.4650,1.1309,-0.4033,0.3186,
1.041766,-0.5040,-0.6411,0.1251,-7.8455,-15.7304,0.4650,1.1309,-0.4033,0.3186,
1.072143,-0.5040,-0.6411,0.1251,-7.8455,-15.7304,0.4650,-0.4775,-1.8889,-0.2275,
1.074913,-0.5040,-0.6411,0.1251,-3.8290,-11.1866,-7.1937,-0.4775,-1.8889,-0.2275,
1.099105,-0.4407,-0.5849,0.1351,-3.8290,-11.1866,-7.1937,-0.4775,-1.8889,-0.2275,
1.101904,-0.3640,-0.5783,0.2172,-3.8290,-11.1866,-7.1937,-0.4775,-1.8889,-0.2275,
1.104023,-0.2976,-0.6076,0.3257,-3.8290,-11.1866,-7.1937,-0.4775,-1.8889,-0.2275,
