time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
,0.105,-0.258,-0.765,-0.01,0.9,0.1,-0.33,-0.12,-0.12
2022-01-28 11:24:37.9030,0.087,-0.211,-0.802,0.91,0.69,-1.82,-0.37,0.18,-0.18
2022-01-28 11:24:37.9070,0.102,-0.206,-0.815,0.96,0.4,-1.55,-0.42,0.38,-0.23
2022-01-28 11:24:37.9170,0.131,-0.244,-0.828,0.51,1.11,-1.22,-0.44,0.43,-0.22
2022-01-28 11:24:37.9280,0.158,-0.28,-0.865,0.51,1.11,-1.22,-0.44,0.34,-0.17
2022-01-28 11:24:37.9370,0.174,-0.29,-0.903,0.31,1.4,-0.83,-0.42,0.11,-0.12
2022-01-28 11:24:37.9470,0.178,-0.288,-0.926,0.15,1.54,-0.48,-0.37,-0.16,-0.08
2022-01-28 11:24:37.9580,0.185,-0.304,-0.921,0.15,1.54,-0.48,-0.29,-0.42,-0.03
2022-01-28 11:24:37.9680,0.171,-0.316,-0.928,0.33,1.81,-0.5,-0.29,-0.42,-0.03
2022-01-28 11:24:37.9790,0.134,-0.323,-0.91,0.33,1.81,-0.5,-0.03,-0.63,0.06
2022-01-28 11:24:37.9880,0.092,-0.334,-0.873,0.67,1.91,-0.81,-0.03,-0.63,0.06
2022-01-28 11:24:37.9980,0.055,-0.336,-0.85,1.02,1.97,-1.15,0.28,-0.27,0.11
2022-01-28 11:24:38.0080,0.026,-0.328,-0.838,1.53,1.76,-1.41,0.42,0.01,0.16
2022-01-28 11:24:38.0180,0.02,-0.319,-0.825,1.47,1.62,-1.5,0.58,0.29,0.22
2022-01-28 11:24:38.0280,0.043,-0.309,-0.817,1.47,1.62,-1.5,0.73,0.54,0.25
2022-01-28 11:24:38.0380,0.075,-0.299,-0.826,1.23,1.43,-1.5,0.89,0.72,0.26
2022-01-28 11:24:38.0490,0.1,-0.3,-0.863,1.0,1.28,-1.24,1.04,0.8,0.27
2022-01-28 11:24:38.0580,0.114,-0.315,-0.905,0.88,1.25,-0.78,1.17,0.78,0.29
2022-01-28 11:24:38.0690,0.117,-0.342,-0.932,0.9,1.5,-0.13,1.29,0.69,0.31
2022-01-28 11:24:38.0790,0.123,-0.368,-0.954,0.9,1.5,-0.13,1.37,0.57,0.33
2022-01-28 11:24:38.0880,0.129,-0.38,-0.964,0.86,1.57,0.07,1.43,0.44,0.35
2022-01-28 11:24:38.0980,0.125,-0.38,-0.981,0.87,1.47,0.22,1.48,0.29,0.38
2022-01-28 11:24:38.1200,0.118,-0.38,-0.983,0.88,1.25,0.34,1.54,0.25,0.41
2022-01-28 11:24:38.1220,0.151,-0.403,-0.968,0.88,1.25,0.34,1.59,0.33,0.4
2022-01-28 11:24:38.1280,0.159,-0.436,-0.954,0.6,1.4,0.27,1.6,0.52,0.37
2022-01-28 11:24:38.1390,0.147,-0.463,-0.924,0.74,1.56,0.08,1.5,0.71,0.3
2022-01-28 11:24:38.1480,0.153,-0.478,-0.939,0.85,1.62,0.0,1.5,0.71,0.3
2022-01-28 11:24:38.1670,0.191,-0.507,-0.973,0.36,2.01,0.56,1.29,0.77,0.2
2022-01-28 11:24:38.1690,0.221,-0.557,-0.954,0.36,2.01,0.56,0.76,0.83,-0.03
2022-01-28 11:24:38.1780,0.222,-0.589,-0.933,0.32,2.4,0.31,0.58,0.86,-0.08
2022-01-28 11:24:38.1890,0.233,-0.585,-0.929,0.3,2.35,0.26,0.58,0.86,-0.08
2022-01-28 11:24:38.2000,0.249,-0.583,-0.924,0.3,2.35,0.26,0.36,1.06,-0.02
2022-01-28 11:24:38.2090,0.27,-0.61,-0.927,0.24,2.44,0.26,0.32,1.19,0.12
2022-01-28 11:24:38.2190,0.294,-0.655,-0.948,0.1,2.8,0.44,0.31,1.24,0.29
