time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-02-09 17:34:06.7010,0.196,-0.302,-0.975,0.19,0.1,0.27,-0.35,-0.34,0.17
2022-02-09 17:34:06.7100,0.17,-0.272,-0.955,0.33,-0.24,0.32,-0.21,-0.23,0.13
2022-02-09 17:34:06.7200,0.125,-0.255,-0.912,0.74,-0.41,-0.07,-0.21,-0.23,0.13
2022-02-09 17:34:06.7310,0.1,-0.24,-0.889,1.04,-0.55,-0.4,-0.07,0.02,-0.02
2022-02-09 17:34:06.7410,0.11,-0.233,-0.91,1.04,-0.67,-0.29,-0.03,0.03,-0.09
2022-02-09 17:34:06.7510,0.15,-0.253,-0.951,0.7,-0.51,0.09,0.02,-0.07,-0.13
2022-02-09 17:34:06.7610,0.19,-0.28,-0.98,0.28,-0.26,0.43,0.06,-0.17,-0.13
2022-02-09 17:34:06.7710,0.206,-0.305,-0.953,0.03,0.01,0.34,0.06,-0.14,-0.09
2022-02-09 17:34:06.7810,0.202,-0.298,-0.9,0.05,0.03,-0.22,-0.01,-0.06,-0.03
2022-02-09 17:34:06.7910,0.199,-0.274,-0.892,0.07,-0.2,-0.4,-0.08,-0.01,-0.0
2022-02-09 17:34:06.8020,0.193,-0.27,-0.908,0.13,-0.28,-0.3,-0.1,0.04,-0.0
2022-02-09 17:34:06.8120,0.188,-0.264,-0.94,0.18,-0.31,-0.01,-0.06,0.08,-0.01
2022-02-09 17:34:06.8210,0.178,-0.257,-0.975,0.28,-0.38,0.34,0.04,0.1,-0.03
2022-02-09 17:34:06.8310,0.183,-0.25,-0.998,0.29,-0.44,0.6,0.18,0.09,-0.06
2022-02-09 17:34:06.8410,0.198,-0.245,-1.006,0.17,-0.53,0.72,0.3,0.02,-0.09
2022-02-09 17:34:06.8520,0.223,-0.258,-1.01,-0.04,-0.48,0.76,0.37,-0.13,-0.1
2022-02-09 17:34:06.8620,0.253,-0.285,-1.017,-0.36,-0.26,0.85,0.38,-0.25,-0.08
2022-02-09 17:34:06.8730,0.259,-0.298,-1.006,-0.52,-0.12,0.8,0.33,-0.37,-0.02
2022-02-09 17:34:06.8820,0.243,-0.304,-0.97,-0.42,-0.08,0.51,0.24,-0.44,0.03
2022-02-09 17:34:06.8920,0.228,-0.312,-0.929,-0.31,-0.04,0.09,0.09,-0.49,0.08
2022-02-09 17:34:06.9020,0.212,-0.324,-0.903,-0.21,0.07,-0.22,-0.07,-0.49,0.1
2022-02-09 17:34:06.9120,0.198,-0.317,-0.905,-0.1,0.07,-0.28,-0.21,-0.46,0.12
2022-02-09 17:34:06.9220,0.18,-0.293,-0.911,0.01,-0.13,-0.2,-0.3,-0.36,0.13
2022-02-09 17:34:06.9320,0.165,-0.283,-0.901,0.14,-0.25,-0.3,-0.32,-0.21,0.11
2022-02-09 17:34:06.9420,0.162,-0.289,-0.903,0.18,-0.2,-0.34,-0.28,-0.06,0.11
2022-02-09 17:34:06.9520,0.17,-0.298,-0.928,0.11,-0.09,-0.16,-0.2,0.02,0.14
2022-02-09 17:34:06.9620,0.189,-0.309,-0.966,-0.04,0.03,0.19,-0.1,0.03,0.18
2022-02-09 17:34:06.9730,0.213,-0.31,-0.998,-0.3,0.09,0.53,-0.02,-0.03,0.23
2022-02-09 17:34:06.9830,0.216,-0.293,-1.02,-0.39,-0.03,0.77,0.02,-0.14,0.27
2022-02-09 17:34:06.9930,0.198,-0.265,-1.016,-0.29,-0.31,0.81,0.02,-0.24,0.25
