
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.073405,0.1981,0.3518,0.9019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.074021,0.2923,0.4163,1.0964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.074595,0.2784,0.4461,1.0467,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.152468,0.2979,0.4054,0.9804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.154082,0.3671,0.4181,1.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.155569,0.3671,0.4181,1.0123,0.4809,0.5478,1.3263,0.0000,0.0000,0.0000,
0.157012,0.3302,0.3964,0.8099,0.4809,0.5478,1.3263,0.0000,0.0000,0.0000,
0.158493,0.3302,0.3964,0.8099,-0.1363,-0.1636,-0.3343,0.0000,0.0000,0.0000,
0.160623,0.3302,0.3964,0.8099,-0.1363,-0.1636,-0.3343,0.5331,0.1309,-0.3496,
0.162120,0.3302,0.3964,0.8099,-0.1363,-0.1636,-0.3343,0.2527,0.0436,-0.4119,
0.163769,0.2386,0.4014,0.6922,-0.1363,-0.1636,-0.3343,0.2527,0.0436,-0.4119,
0.165425,0.2386,0.4014,0.6922,-0.4639,-0.7805,-1.3460,0.2527,0.0436,-0.4119,
0.167238,0.2386,0.4014,0.6922,-0.4639,-0.7805,-1.3460,-0.0417,0.0931,-0.4595,
0.168749,0.2386,0.4014,0.6922,-0.4639,-0.7805,-1.3460,-0.2665,0.2763,-0.4956,
0.170447,0.1639,0.4344,0.8444,-0.4639,-0.7805,-1.3460,-0.2665,0.2763,-0.4956,
0.171990,0.1639,0.4344,0.8444,-0.0617,-0.1635,-0.3179,-0.2665,0.2763,-0.4956,
0.184948,0.1639,0.4344,0.8444,-0.0617,-0.1635,-0.3179,-0.3838,0.4235,-0.4907,
0.191804,0.1639,0.4344,0.8444,-0.0617,-0.1635,-0.3179,-0.4082,0.3704,-0.4363,
0.193604,0.1616,0.3974,0.8681,-0.0617,-0.1635,-0.3179,-0.4082,0.3704,-0.4363,
