
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.068267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.093794,-0.0022,0.2866,0.8259,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.095679,0.0399,0.2965,0.8673,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.098652,0.0709,0.3016,0.9174,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.099843,0.0892,0.2867,0.9856,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.100878,0.1748,0.2903,1.0597,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.101848,0.1662,0.2947,1.0439,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.102907,0.1833,0.2425,0.8600,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.103869,0.2858,0.2190,0.7623,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.105048,0.3554,0.1747,0.7614,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.106195,0.3729,0.1262,0.7636,0.0000,0.0000,0.0000,0.5018,-1.7299,-0.0372,
0.107690,0.3729,0.1262,0.7636,0.0000,0.0000,0.0000,0.2280,-1.3017,-0.1416,
0.147222,0.3729,0.1262,0.7636,0.0000,0.0000,0.0000,-1.2687,0.0352,-0.6487,
0.148815,0.3729,0.1262,0.7636,0.0000,0.0000,-0.0000,-1.2687,0.0352,-0.6487,
0.172507,0.3977,0.1999,0.5538,0.0000,0.0000,-0.0000,-1.2687,0.0352,-0.6487,
0.173745,0.1103,0.2011,0.5866,0.0000,0.0000,-0.0000,-1.2687,0.0352,-0.6487,
0.174417,0.1718,0.1483,0.7572,0.0000,0.0000,-0.0000,-1.2687,0.0352,-0.6487,
0.174967,0.3935,0.0210,0.7507,0.0000,0.0000,-0.0000,-1.2687,0.0352,-0.6487,
0.186176,0.3935,0.0210,0.7507,0.0000,0.0000,-0.0000,-1.6011,-0.9108,-0.2599,
0.187547,0.3935,0.0210,0.7507,-0.8513,0.2226,-0.3403,-1.6011,-0.9108,-0.2599,
0.227368,0.3935,0.0210,0.7507,-0.8513,0.2226,-0.3403,-0.2269,-2.5150,-0.1139,
0.228421,0.3935,0.0210,0.7507,0.7599,-1.1750,-0.0516,-0.2269,-2.5150,-0.1139,
0.250103,0.5095,-0.0198,0.7250,0.7599,-1.1750,-0.0516,-0.2269,-2.5150,-0.1139,
0.252065,0.4629,-0.0586,0.5888,0.7599,-1.1750,-0.0516,-0.2269,-2.5150,-0.1139,
0.253257,0.5227,-0.0865,0.6381,0.7599,-1.1750,-0.0516,-0.2269,-2.5150,-0.1139,
0.254547,0.4934,-0.0979,0.5324,0.7599,-1.1750,-0.0516,-0.2269,-2.5150,-0.1139,
0.266075,0.4934,-0.0979,0.5324,0.7599,-1.1750,-0.0516,0.3729,-3.7018,0.0182,
