time,gFx,gFy,gFz,TgF
0.006039116,0.6765,0.7596,0.0511,1.018
0.006331116,0.6743,0.7606,0.0625,1.018
0.006507308,0.6748,0.7618,0.0674,1.020
0.006629462,0.6750,0.7613,0.0757,1.020
0.006718193,0.6743,0.7606,0.0884,1.020
0.006800385,0.6743,0.7606,0.0884,1.020
0.006921693,0.6755,0.7596,0.0894,1.020
0.007027962,0.6772,0.7569,0.0919,1.020
0.009035308,0.6775,0.7544,0.0931,1.018
0.01584827,0.6777,0.7508,0.0965,1.016
0.016165924,0.6797,0.7505,0.0999,1.017
0.016317808,0.6792,0.7496,0.1011,1.017
0.016455539,0.6775,0.7481,0.1046,1.015
0.018216577,0.6804,0.7471,0.1051,1.016
0.023018116,0.6802,0.7447,0.1073,1.014
0.023211462,0.6802,0.7447,0.1073,1.014
0.023793962,0.6765,0.7405,0.1116,1.009
0.02642277,0.6758,0.7395,0.1124,1.008
0.0282,0.6731,0.7366,0.1148,1.004
0.031273,0.6726,0.7320,0.1187,1.001
0.032704924,0.6709,0.7315,0.1207,1.000
0.0339585,0.6687,0.7278,0.1222,0.996
0.03660077,0.6680,0.7268,0.1236,0.995
0.037846885,0.6689,0.7244,0.1251,0.994
0.042995885,0.6702,0.7227,0.1253,0.994
0.043237347,0.6707,0.7239,0.1253,0.995
0.044563039,0.6711,0.7264,0.1248,0.997
0.045723077,0.6731,0.7278,0.1251,0.999
0.047663039,0.6736,0.7286,0.1256,1.000
0.049639039,0.6748,0.7312,0.1256,1.003
0.051996347,0.6770,0.7386,0.1246,1.010
0.054016308,0.6782,0.7410,0.1226,1.012
0.056366847,0.6814,0.7466,0.1187,1.018
0.058645693,0.6829,0.7498,0.1146,1.021
0.062728308,0.6838,0.7584,0.1102,1.027
0.062907039,0.6838,0.7584,0.1102,1.027
0.06395927,0.6834,0.7635,0.1060,1.030
0.065792577,0.6816,0.7667,0.1058,1.031
0.067844424,0.6809,0.7701,0.1058,1.033
0.070071462,0.6807,0.7718,0.1053,1.034
0.071817539,0.6802,0.7772,0.1048,1.038
0.07387427,0.6794,0.7823,0.1019,1.041
0.081934847,0.6780,0.7843,0.1004,1.042
0.082150654,0.6750,0.7872,0.0982,1.042
0.082547808,0.6731,0.7896,0.0926,1.042
0.082672731,0.6726,0.7899,0.0914,1.041
0.084285231,0.6711,0.7913,0.0892,1.041
0.086080231,0.6685,0.7938,0.0862,1.041
0.088073193,0.6653,0.7952,0.0840,1.040
0.0897135,0.6592,0.7962,0.0804,1.037
0.093555539,0.6548,0.7962,0.0782,1.034
0.095118231,0.6526,0.7965,0.0796,1.033
0.09626227,0.6484,0.7957,0.0828,1.030
0.098297962,0.6506,0.7921,0.0928,1.029
0.103114347,0.6435,0.7845,0.0992,1.020
0.103570154,0.6435,0.7845,0.0992,1.020
0.104168847,0.6384,0.7818,0.0989,1.014
0.105960039,0.6357,0.7762,0.0970,1.008
0.10786977,0.6374,0.7706,0.0958,1.005
0.110097423,0.6369,0.7694,0.0941,1.003
0.112169385,0.6362,0.7637,0.0933,0.998
0.113983923,0.6350,0.7576,0.0921,0.993
0.115808077,0.6352,0.7557,0.0919,0.991
0.119694423,0.6364,0.7501,0.0919,0.988
0.123425308,0.6301,0.7378,0.0955,0.975
0.1235705,0.6301,0.7378,0.0955,0.975
0.123807539,0.6272,0.7347,0.0936,0.970
0.126846077,0.6218,0.7300,0.0877,0.963
0.127842154,0.6164,0.7264,0.0831,0.956
0.129706616,0.5998,0.7163,0.0735,0.937
0.132757462,0.5898,0.7085,0.0638,0.924
0.134168539,0.5878,0.7068,0.0594,0.921
0.136066308,0.5847,0.7044,0.0484,0.917
0.138307654,0.5932,0.7012,0.0540,0.920
0.144614423,0.6206,0.6995,0.0838,0.939
0.145174308,0.6206,0.6995,0.0838,0.939
0.145412308,0.6321,0.7017,0.0730,0.947
0.146991923,0.6386,0.7056,0.0657,0.954
0.148886385,0.6494,0.7110,0.0511,0.964
0.150301231,0.6528,0.7139,0.0428,0.968
0.1521045,0.6565,0.7154,0.0269,0.971
0.153872847,0.6579,0.7168,0.0134,0.973
0.156371923,0.6579,0.7173,0.0071,0.973
0.158153039,0.6606,0.7173,-0.0059,0.975
0.162553077,0.6570,0.7144,-0.0208,0.971
0.162935231,0.6545,0.7127,-0.0254,0.968
0.163990193,0.6526,0.7117,-0.0303,0.966
0.166053347,0.6465,0.7085,-0.0398,0.960
0.168276731,0.6418,0.7063,-0.0452,0.955
0.170195,0.6259,0.6992,-0.0569,0.940
0.172136347,0.6079,0.6897,-0.0645,0.922
0.174748308,0.5996,0.6846,-0.0660,0.912
0.179392077,0.5798,0.6733,-0.0684,0.891
0.180269731,0.5592,0.6633,-0.0701,0.870
0.183161462,0.5285,0.6535,-0.0748,0.844
0.183355346,0.5285,0.6535,-0.0748,0.844
0.184022,0.5099,0.6474,-0.0765,0.828
0.186020385,0.5043,0.6457,-0.0767,0.823
0.188288193,0.4967,0.6460,-0.0770,0.818
0.189916154,0.4959,0.6470,-0.0762,0.819
0.196120616,0.4981,0.6496,-0.0750,0.822
0.196547885,0.5062,0.6550,-0.0755,0.831
0.196698193,0.5111,0.6579,-0.0755,0.837
0.197920923,0.5177,0.6631,-0.0777,0.845
0.202727193,0.5534,0.6702,-0.0799,0.873
0.20299377,0.5534,0.6702,-0.0799,0.873
0.203974808,0.5614,0.6733,-0.0784,0.880
0.206054731,0.5749,0.6807,-0.0726,0.894
0.207837346,0.5810,0.6860,-0.0701,0.902
0.210015193,0.5949,0.7036,-0.0623,0.924
0.211944154,0.6123,0.7200,-0.0555,0.947
0.213923154,0.6233,0.7273,-0.0542,0.959
0.2157575,0.6477,0.7432,-0.0535,0.987
0.21776727,0.6794,0.7562,-0.0513,1.018
0.222787808,0.7339,0.7806,-0.0445,1.072
0.2229545,0.7339,0.7806,-0.0445,1.072
0.223734962,0.7496,0.7894,-0.0430,1.089
0.22732777,0.7715,0.8045,-0.0418,1.115
0.228894077,0.7884,0.8158,-0.0435,1.135
0.229927462,0.7955,0.8197,-0.0435,1.143
0.232142385,0.8067,0.8255,-0.0425,1.155
0.233820577,0.8199,0.8309,-0.0398,1.168
0.236503423,0.8253,0.8334,-0.0403,1.174
0.238037308,0.8331,0.8356,-0.0386,1.181
0.245504577,0.8514,0.8387,-0.0386,1.196
0.245877693,0.8514,0.8387,-0.0386,1.196
0.246104462,0.8541,0.8402,-0.0391,1.199
0.24632077,0.8563,0.8400,-0.0401,1.200
0.248445346,0.8580,0.8373,-0.0410,1.200
0.249971154,0.8612,0.8341,-0.0428,1.200
0.252657346,0.8617,0.8299,-0.0442,1.197
0.254388808,0.8619,0.8277,-0.0442,1.196
0.256074,0.8597,0.8209,-0.0447,1.190
0.258091231,0.8541,0.8170,-0.0459,1.183
0.263198616,0.8453,0.8031,-0.0469,1.167
0.263325462,0.8453,0.8031,-0.0469,1.167
0.263690308,0.8414,0.7989,-0.0481,1.161
0.265693846,0.8329,0.7908,-0.0489,1.150
0.267718731,0.8189,0.7808,-0.0459,1.132
0.269891539,0.8131,0.7759,-0.0452,1.125
0.272417962,0.7994,0.7650,-0.0428,1.107
0.273915577,0.7869,0.7542,-0.0413,1.091
0.277062231,0.7794,0.7491,-0.0406,1.082
0.285790462,0.7647,0.7391,-0.0396,1.064
0.285986654,0.7415,0.7237,-0.0352,1.037
0.286084231,0.7344,0.7237,-0.0352,1.032
0.286164423,0.7276,0.7127,-0.0322,1.019
0.286239923,0.7161,0.7044,-0.0288,1.005
0.289141423,0.7110,0.7005,-0.0259,0.998
0.290248308,0.7014,0.6931,-0.0213,0.986
0.291948,0.6936,0.6880,-0.0176,0.977
0.294217769,0.6902,0.6851,-0.0156,0.973
0.295979539,0.6826,0.6794,-0.0115,0.963
0.298103539,0.6785,0.6787,-0.0100,0.960
0.304145039,0.6731,0.6743,-0.0022,0.953
0.304796154,0.6731,0.6743,-0.0022,0.953
0.305140616,0.6721,0.6738,0.0032,0.952
0.308396269,0.6721,0.6755,0.0051,0.953
0.309921808,0.6733,0.6748,0.0088,0.953
0.312606269,0.6741,0.6750,0.0112,0.954
0.312772462,0.6750,0.6777,0.0151,0.957
0.314313693,0.6743,0.6790,0.0183,0.957
0.316407539,0.6758,0.6814,0.0195,0.960
0.318444231,0.6777,0.6846,0.0232,0.964
0.323053077,0.6790,0.6897,0.0281,0.968
0.323239423,0.6799,0.6914,0.0286,0.970
0.324572808,0.6804,0.6929,0.0291,0.972
0.327585116,0.6809,0.6978,0.0303,0.975
0.328073423,0.6819,0.7000,0.0308,0.978
0.330244769,0.6826,0.7034,0.0337,0.981
0.332770423,0.6826,0.7051,0.0342,0.982
0.334024039,0.6816,0.7097,0.0347,0.985
0.336342154,0.6804,0.7141,0.0340,0.987
0.337806693,0.6812,0.7158,0.0340,0.989
0.342973231,0.6738,0.7266,0.0337,0.992
0.343184769,0.6738,0.7266,0.0337,0.992
0.345975077,0.6733,0.7281,0.0335,0.992
0.346471693,0.6731,0.7320,0.0308,0.995
0.348673923,0.6724,0.7366,0.0291,0.998
0.350129154,0.6704,0.7378,0.0291,0.997
0.352410846,0.6692,0.7408,0.0288,0.999
0.354191385,0.6672,0.7447,0.0266,1.000
0.356380539,0.6660,0.7476,0.0242,1.002
0.357872116,0.6631,0.7510,0.0203,1.002
0.362617808,0.6582,0.7547,0.0161,1.002
0.362776885,0.6582,0.7547,0.0161,1.002
0.363721231,0.6570,0.7557,0.0139,1.001
0.365720308,0.6548,0.7571,0.0098,1.001
0.367668039,0.6533,0.7581,0.0093,1.001
0.370886077,0.6511,0.7610,0.0071,1.002
0.371880962,0.6506,0.7615,0.0046,1.002
0.374358846,0.6496,0.7625,0.0027,1.002
0.379753154,0.6494,0.7640,-0.0010,1.003
0.380465193,0.6487,0.7650,-0.0029,1.003
0.383207308,0.6499,0.7669,-0.0120,1.005
0.383700231,0.6499,0.7669,-0.0120,1.005
0.383917539,0.6499,0.7679,-0.0142,1.006
0.387813423,0.6494,0.7684,-0.0161,1.006
0.388101423,0.6489,0.7694,-0.0191,1.007
0.390094154,0.6487,0.7696,-0.0227,1.007
0.391819077,0.6479,0.7715,-0.0286,1.008
0.395266808,0.6457,0.7723,-0.0332,1.007
0.395904577,0.6460,0.7718,-0.0357,1.007
0.397767346,0.6462,0.7703,-0.0388,1.006
0.402029808,0.6457,0.7720,-0.0435,1.007
0.402122577,0.6457,0.7720,-0.0435,1.007
0.403938577,0.6448,0.7711,-0.0476,1.006
0.406137269,0.6430,0.7725,-0.0513,1.006
0.408270077,0.6421,0.7725,-0.0530,1.006
0.411633462,0.6416,0.7720,-0.0562,1.005
0.412517077,0.6413,0.7720,-0.0574,1.005
0.413894231,0.6411,0.7713,-0.0599,1.005
