
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.045609,0.0000,0.0000,0.0000,0.1207,0.2945,-0.2720,0.0000,0.0000,0.0000,
0.105478,0.0000,0.0000,0.0000,0.1845,0.3246,-0.2828,0.0000,0.0000,0.0000,
0.166169,0.0000,0.0000,0.0000,0.2390,0.3894,-0.3061,0.0000,0.0000,0.0000,
0.225669,0.0000,0.0000,0.0000,0.3138,0.4498,-0.3265,0.0000,0.0000,0.0000,
0.285340,0.0000,0.0000,0.0000,0.3138,0.4498,-0.3265,-0.0025,0.0537,0.0104,
0.286039,0.0000,0.0000,0.0000,1.3275,1.6509,-0.5967,-0.0025,0.0537,0.0104,
0.345210,0.0000,0.0000,0.0000,1.3275,1.6509,-0.5967,-0.0227,0.0903,0.0171,
0.345879,0.0000,0.0000,0.0000,4.9499,7.1602,1.0821,-0.0227,0.0903,0.0171,
0.405116,0.0000,0.0000,0.0000,4.9499,7.1602,1.0821,-0.0263,0.0604,0.0440,
0.405778,0.0000,0.0000,0.0000,6.0483,9.7594,3.9145,-0.0263,0.0604,0.0440,
0.433706,-0.6037,-0.7823,0.0711,6.0483,9.7594,3.9145,-0.0263,0.0604,0.0440,
0.466040,-0.6037,-0.7823,0.0711,6.0483,9.7594,3.9145,0.0433,0.1325,0.0880,
0.467500,-0.6037,-0.7823,0.0711,0.2740,-0.7031,-2.3626,0.0433,0.1325,0.0880,
0.493398,-0.6267,-0.7884,0.1070,0.2740,-0.7031,-2.3626,0.0433,0.1325,0.0880,
0.494534,-0.6220,-0.7720,0.1175,0.2740,-0.7031,-2.3626,0.0433,0.1325,0.0880,
0.495269,-0.6203,-0.7635,0.1121,0.2740,-0.7031,-2.3626,0.0433,0.1325,0.0880,
0.525647,-0.6203,-0.7635,0.1121,0.2740,-0.7031,-2.3626,0.0525,0.1740,0.0929,
0.526669,-0.6203,-0.7635,0.1121,0.1728,-0.3951,-1.5193,0.0525,0.1740,0.0929,
0.552735,-0.6206,-0.7588,0.0977,0.1728,-0.3951,-1.5193,0.0525,0.1740,0.0929,
0.553465,-0.6281,-0.7608,0.0884,0.1728,-0.3951,-1.5193,0.0525,0.1740,0.0929,
0.553919,-0.6294,-0.7588,0.0972,0.1728,-0.3951,-1.5193,0.0525,0.1740,0.0929,
0.586268,-0.6294,-0.7588,0.0972,0.1728,-0.3951,-1.5193,-0.1137,0.1013,0.0464,
0.587312,-0.6294,-0.7588,0.0972,0.1455,-0.3736,-1.5819,-0.1137,0.1013,0.0464,
0.613422,-0.6289,-0.7449,0.0980,0.1455,-0.3736,-1.5819,-0.1137,0.1013,0.0464,
0.615334,-0.6252,-0.7356,0.0814,0.1455,-0.3736,-1.5819,-0.1137,0.1013,0.0464,
0.616051,-0.6406,-0.7437,0.0586,0.1455,-0.3736,-1.5819,-0.1137,0.1013,0.0464,
0.645482,-0.6406,-0.7437,0.0586,0.0387,-0.1884,-1.8467,-0.1137,0.1013,0.0464,
0.646723,-0.6406,-0.7437,0.0586,0.0387,-0.1884,-1.8467,-0.3916,-0.1809,-0.0312,
0.673099,-0.6509,-0.7574,0.0437,0.0387,-0.1884,-1.8467,-0.3916,-0.1809,-0.0312,
0.674112,-0.6457,-0.7613,0.0535,0.0387,-0.1884,-1.8467,-0.3916,-0.1809,-0.0312,
0.674809,-0.6257,-0.7628,0.0528,0.0387,-0.1884,-1.8467,-0.3916,-0.1809,-0.0312,
0.705808,-0.6257,-0.7628,0.0528,0.1437,-0.2991,-1.7837,-0.3916,-0.1809,-0.0312,
0.708600,-0.6257,-0.7628,0.0528,0.1437,-0.2991,-1.7837,-0.4747,-0.2640,-0.0428,
0.736118,-0.6137,-0.7689,0.0366,0.1437,-0.2991,-1.7837,-0.4747,-0.2640,-0.0428,
0.737600,-0.6196,-0.7784,0.0242,0.1437,-0.2991,-1.7837,-0.4747,-0.2640,-0.0428,
