time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-02-06 21:37:09.3770,0.263,-0.46,-0.764,-0.92,0.94,-1.54,-0.85,-0.15,0.23
2022-02-06 21:37:12.9000,0.252,-0.454,-0.823,-0.71,1.09,-1.11,-0.87,-0.23,0.28
2022-02-06 21:37:12.9090,0.275,-0.423,-0.865,-0.97,0.84,-0.67,-0.75,-0.36,0.25
2022-02-06 21:37:12.9200,0.262,-0.41,-0.894,-0.87,0.63,-0.49,-0.52,-0.5,0.21
2022-02-06 21:37:12.9310,0.25,-0.394,-0.869,-0.87,0.63,-0.49,-0.24,-0.53,0.18
2022-02-06 21:37:12.9400,0.248,-0.379,-0.839,-0.91,0.39,-0.84,0.03,-0.49,0.17
2022-02-06 21:37:12.9510,0.244,-0.374,-0.852,-0.91,0.39,-0.84,0.21,-0.44,0.19
2022-02-06 21:37:12.9600,0.243,-0.387,-0.88,-0.98,0.64,-0.4,0.31,-0.4,0.24
2022-02-06 21:37:12.9710,0.243,-0.411,-0.891,-0.99,0.76,-0.45,0.34,-0.34,0.3
2022-02-06 21:37:12.9810,0.239,-0.422,-0.878,-0.99,0.76,-0.45,0.33,-0.27,0.35
2022-02-06 21:37:12.9900,0.228,-0.417,-0.842,-0.94,0.72,-0.74,0.28,-0.14,0.36
2022-02-06 21:37:13.0010,0.211,-0.409,-0.826,-0.8,0.6,-1.02,0.21,-0.08,0.36
2022-02-06 21:37:13.0110,0.213,-0.416,-0.853,-0.77,0.6,-0.78,0.21,-0.08,0.36
2022-02-06 21:37:13.0210,0.22,-0.431,-0.859,-0.88,0.74,-0.68,0.14,-0.05,0.35
2022-02-06 21:37:13.0310,0.212,-0.432,-0.884,-0.8,0.78,-0.26,0.07,-0.11,0.31
2022-02-06 21:37:13.0410,0.205,-0.435,-0.901,-0.8,0.78,-0.26,0.05,-0.11,0.27
2022-02-06 21:37:13.0510,0.191,-0.441,-0.889,-0.7,0.83,-0.33,0.05,-0.06,0.23
2022-02-06 21:37:13.0600,0.178,-0.438,-0.888,-0.57,0.82,-0.41,0.07,-0.02,0.19
2022-02-06 21:37:13.0710,0.178,-0.438,-0.894,-0.56,0.85,-0.36,0.07,-0.02,0.19
2022-02-06 21:37:13.0810,0.178,-0.447,-0.889,-0.52,0.88,-0.34,0.15,0.05,0.15
2022-02-06 21:37:13.0910,0.174,-0.449,-0.892,-0.52,0.88,-0.34,0.17,0.07,0.13
2022-02-06 21:37:13.1020,0.173,-0.451,-0.893,-0.5,0.88,-0.32,0.15,0.07,0.1
2022-02-06 21:37:13.1110,0.173,-0.455,-0.897,-0.47,0.97,-0.3,0.09,0.07,0.06
2022-02-06 21:37:13.1210,0.171,-0.464,-0.892,-0.47,1.06,-0.41,0.02,0.11,0.02
2022-02-06 21:37:13.1310,0.173,-0.472,-0.881,-0.48,1.09,-0.38,-0.05,0.14,-0.02
2022-02-06 21:37:13.1410,0.175,-0.473,-0.89,-0.47,1.08,-0.26,-0.1,0.16,-0.07
2022-02-06 21:37:13.1510,0.174,-0.469,-0.9,-0.47,1.08,-0.26,-0.1,0.16,-0.07
2022-02-06 21:37:13.1610,0.167,-0.461,-0.922,-0.37,0.94,0.22,-0.16,0.04,-0.22
2022-02-06 21:37:13.1710,0.17,-0.453,-0.948,-0.37,0.95,0.03,-0.13,-0.01,-0.3
2022-02-06 21:37:13.1810,0.169,-0.457,-0.918,-0.31,1.07,-0.29,-0.07,0.04,-0.33
2022-02-06 21:37:13.1910,0.166,-0.468,-0.892,-0.31,1.07,-0.29,-0.01,0.12,-0.33
2022-02-06 21:37:13.2010,0.178,-0.469,-0.895,-0.35,1.09,-0.31,0.06,0.15,-0.33
2022-02-06 21:37:13.2110,0.194,-0.468,-0.907,-0.49,1.06,-0.18,0.06,0.15,-0.33
2022-02-06 21:37:13.2210,0.198,-0.472,-0.894,-0.52,1.01,-0.4,0.21,0.2,-0.28
