time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-01-31 10:24:08.7860,-0.099,-0.303,-1.038,1.6,0.94,0.24,-0.52,-0.34,-0.1
2022-01-31 10:24:08.7950,-0.108,-0.285,-1.062,1.44,1.06,0.46,-0.51,-0.41,-0.12
2022-01-31 10:24:08.8050,-0.109,-0.292,-1.076,1.47,0.92,0.73,-0.46,-0.45,-0.11
2022-01-31 10:24:08.8150,-0.101,-0.311,-1.102,1.48,0.93,0.87,-0.38,-0.45,-0.09
2022-01-31 10:24:08.8250,-0.094,-0.325,-1.109,1.38,1.14,1.08,-0.28,-0.39,-0.06
2022-01-31 10:24:08.8350,-0.103,-0.32,-1.091,1.26,1.34,1.26,-0.2,-0.29,-0.02
2022-01-31 10:24:08.8450,-0.126,-0.311,-1.055,1.24,1.37,1.14,-0.14,-0.13,0.05
2022-01-31 10:24:08.8560,-0.141,-0.299,-1.011,1.43,1.31,0.86,-0.14,-0.13,0.05
2022-01-31 10:24:08.8660,-0.138,-0.286,-0.983,1.62,1.21,0.42,-0.14,0.18,0.23
2022-01-31 10:24:08.8760,-0.114,-0.28,-0.965,1.68,1.1,0.08,-0.17,0.29,0.33
2022-01-31 10:24:08.8860,-0.087,-0.277,-0.956,1.54,1.02,-0.14,-0.21,0.37,0.39
2022-01-31 10:24:08.8960,-0.07,-0.273,-0.947,1.28,1.01,-0.24,-0.24,0.41,0.42
2022-01-31 10:24:08.9060,-0.053,-0.27,-0.934,1.12,0.99,-0.33,-0.28,0.4,0.43
2022-01-31 10:24:08.9160,-0.041,-0.275,-0.934,0.98,0.99,-0.46,-0.29,0.36,0.4
2022-01-31 10:24:08.9260,-0.038,-0.28,-0.938,0.88,1.02,-0.52,-0.3,0.3,0.31
2022-01-31 10:24:08.9360,-0.037,-0.278,-0.959,0.83,1.12,-0.47,-0.28,0.26,0.22
2022-01-31 10:24:08.9460,-0.02,-0.28,-0.978,0.87,1.14,-0.37,-0.22,0.25,0.21
2022-01-31 10:24:08.9560,0.001,-0.276,-1.014,0.78,1.17,-0.14,-0.12,0.22,0.25
2022-01-31 10:24:08.9670,0.003,-0.258,-1.039,0.58,1.16,0.1,0.02,0.21,0.33
2022-01-31 10:24:08.9760,-0.007,-0.23,-1.048,0.49,1.05,0.47,0.18,0.27,0.4
2022-01-31 10:24:08.9870,-0.025,-0.2,-1.019,0.58,0.77,0.59,0.36,0.45,0.44
2022-01-31 10:24:08.9970,-0.052,-0.175,-0.961,0.76,0.45,0.5,0.51,0.67,0.41
2022-01-31 10:24:09.0070,-0.058,-0.159,-0.941,1.07,0.12,-0.02,0.62,0.84,0.3
2022-01-31 10:24:09.0170,-0.043,-0.158,-0.948,1.3,-0.14,-0.38,0.71,0.89,0.16
2022-01-31 10:24:09.0270,-0.012,-0.187,-0.96,1.3,-0.29,-0.36,0.81,0.8,0.04
2022-01-31 10:24:09.0370,0.026,-0.222,-0.977,1.13,-0.2,-0.2,0.9,0.53,-0.06
2022-01-31 10:24:09.0470,0.05,-0.242,-1.0,0.82,0.09,-0.08,0.98,0.23,-0.17
2022-01-31 10:24:09.0570,0.066,-0.257,-0.965,0.54,0.25,0.22,1.0,0.01,-0.32
2022-01-31 10:24:09.0670,0.073,-0.266,-0.929,0.37,0.31,0.15,1.05,-0.28,-0.47
