
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.055859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0539,-0.2979,0.1635,
0.056939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0457,-0.2252,0.1916,
0.057831,-0.1836,0.4445,0.8723,0.0000,0.0000,0.0000,-0.0457,-0.2252,0.1916,
0.058668,-0.1836,0.4445,0.8723,-0.0989,-0.2268,0.0470,-0.0457,-0.2252,0.1916,
0.059500,-0.1836,0.4445,0.8723,-0.0989,-0.2268,0.0470,-0.0866,-0.2112,0.1892,
0.060103,-0.1836,0.4445,0.8723,-0.0989,-0.2268,0.0470,-0.1208,-0.2491,0.1714,
0.060579,-0.1836,0.4445,0.8723,0.1046,-0.2818,-0.5228,-0.1208,-0.2491,0.1714,
0.061188,-0.1628,0.4389,0.8142,0.1046,-0.2818,-0.5228,-0.1208,-0.2491,0.1714,
0.061916,-0.1628,0.4389,0.8142,0.1046,-0.2818,-0.5228,-0.1379,-0.3560,0.1495,
0.062756,-0.1742,0.4236,0.8465,0.1046,-0.2818,-0.5228,-0.1379,-0.3560,0.1495,
0.064270,-0.1742,0.4236,0.8465,0.0677,-0.1647,-0.3291,-0.1379,-0.3560,0.1495,
0.067994,-0.1742,0.4236,0.8465,0.0677,-0.1647,-0.3291,-0.1245,-0.4812,0.1305,
0.077856,-0.1742,0.4236,0.8465,0.0677,-0.1647,-0.3291,-0.0866,-0.5667,0.1207,
0.079484,-0.1854,0.4151,0.8604,0.0677,-0.1647,-0.3291,-0.0866,-0.5667,0.1207,
0.081104,-0.1854,0.4151,0.8604,0.0514,-0.1150,-0.2384,-0.0866,-0.5667,0.1207,
0.087962,-0.1854,0.4151,0.8604,0.0514,-0.1150,-0.2384,-0.0445,-0.6871,0.1036,
0.098776,-0.1854,0.4151,0.8604,0.0514,-0.1150,-0.2384,-0.0487,-0.8984,0.0511,
0.100677,-0.0980,0.4277,0.7989,0.0514,-0.1150,-0.2384,-0.0487,-0.8984,0.0511,
0.102230,-0.0980,0.4277,0.7989,0.0940,-0.4104,-0.7667,-0.0487,-0.8984,0.0511,
0.107929,-0.0980,0.4277,0.7989,0.0940,-0.4104,-0.7667,-0.0756,-0.9369,-0.0057,
0.118040,-0.0980,0.4277,0.7989,0.0940,-0.4104,-0.7667,-0.0897,-0.7378,-0.0338,
0.119558,-0.0958,0.4664,0.9045,0.0940,-0.4104,-0.7667,-0.0897,-0.7378,-0.0338,
0.120545,-0.0958,0.4664,0.9045,-0.0198,0.0962,0.1866,-0.0897,-0.7378,-0.0338,
0.127938,-0.0958,0.4664,0.9045,-0.0198,0.0962,0.1866,-0.1110,-0.4665,-0.0552,
0.137930,-0.0958,0.4664,0.9045,-0.0198,0.0962,0.1866,-0.1061,-0.3468,-0.0796,
