
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.056889,0.0000,0.0000,0.0000,-0.1255,0.0082,0.0819,0.0000,0.0000,0.0000,
0.057908,0.0000,0.0000,0.0000,-0.2907,-0.2168,-0.4017,0.0000,0.0000,0.0000,
0.058549,0.0000,0.0000,0.0000,0.0972,-0.2168,-0.6591,0.0000,0.0000,0.0000,
0.059221,0.0420,0.2671,0.9009,0.0972,-0.2168,-0.6591,0.0000,0.0000,0.0000,
0.059799,0.0420,0.2671,0.9009,-0.0263,-0.1672,-0.5640,0.0000,0.0000,0.0000,
0.066637,0.0420,0.2671,0.9009,-0.0263,-0.1672,-0.5640,-0.7860,-0.5557,0.1800,
0.076532,0.0420,0.2671,0.9009,-0.0263,-0.1672,-0.5640,-0.9058,-0.5270,0.0358,
0.077601,0.0330,0.2834,0.9734,-0.0263,-0.1672,-0.5640,-0.9058,-0.5270,0.0358,
0.078468,0.0330,0.2834,0.9734,0.0044,0.0375,0.1289,-0.9058,-0.5270,0.0358,
0.086545,0.0330,0.2834,0.9734,0.0044,0.0375,0.1289,-0.8966,-0.5789,-0.0778,
0.097847,0.0330,0.2834,0.9734,0.0044,0.0375,0.1289,-0.8862,-0.7304,-0.1670,
0.098905,-0.0588,0.2217,0.9354,0.0044,0.0375,0.1289,-0.8862,-0.7304,-0.1670,
0.099948,-0.0588,0.2217,0.9354,0.0224,-0.0846,-0.3571,-0.8862,-0.7304,-0.1670,
0.106613,-0.0588,0.2217,0.9354,0.0224,-0.0846,-0.3571,-0.9351,-0.9565,-0.1841,
0.116498,-0.0588,0.2217,0.9354,0.0224,-0.0846,-0.3571,-1.0341,-1.1568,-0.1774,
0.117582,-0.0890,0.1853,0.8868,0.0224,-0.0846,-0.3571,-1.0341,-1.1568,-0.1774,
0.118283,-0.0890,0.1853,0.8868,0.0866,-0.1802,-0.8623,-1.0341,-1.1568,-0.1774,
0.126539,-0.0890,0.1853,0.8868,0.0866,-0.1802,-0.8623,-1.1403,-1.2784,-0.1926,
0.136530,-0.0890,0.1853,0.8868,0.0866,-0.1802,-0.8623,-1.2039,-1.2747,-0.2525,
0.137554,-0.0118,0.1477,0.9352,0.0866,-0.1802,-0.8623,-1.2039,-1.2747,-0.2525,
0.138410,-0.0118,0.1477,0.9352,0.0066,-0.0823,-0.5209,-1.2039,-1.2747,-0.2525,
0.147476,-0.0118,0.1477,0.9352,0.0066,-0.0823,-0.5209,-1.1800,-1.1446,-0.3686,
0.156597,-0.0118,0.1477,0.9352,0.0066,-0.0823,-0.5209,-1.0793,-0.9332,-0.5127,
0.157760,-0.0645,0.1207,1.0147,0.0066,-0.0823,-0.5209,-1.0793,-0.9332,-0.5127,
0.158563,-0.0645,0.1207,1.0147,-0.0143,0.0268,0.2256,-1.0793,-0.9332,-0.5127,
0.166716,-0.0645,0.1207,1.0147,-0.0143,0.0268,0.2256,-0.9259,-0.7005,-0.6263,
0.176640,-0.0645,0.1207,1.0147,-0.0143,0.0268,0.2256,-0.7433,-0.5295,-0.7332,
0.177911,-0.0046,0.0750,1.0238,-0.0143,0.0268,0.2256,-0.7433,-0.5295,-0.7332,
0.178902,-0.0046,0.0750,1.0238,-0.0011,0.0185,0.2526,-0.7433,-0.5295,-0.7332,
0.186875,-0.0046,0.0750,1.0238,-0.0011,0.0185,0.2526,-0.6284,-0.5912,-0.8719,
0.198565,-0.0046,0.0750,1.0238,-0.0011,0.0185,0.2526,-0.6700,-0.9033,-1.0039,
0.200359,-0.0044,0.0418,0.9749,-0.0011,0.0185,0.2526,-0.6700,-0.9033,-1.0039,
0.201784,-0.0044,0.0418,0.9749,0.0011,-0.0104,-0.2435,-0.6700,-0.9033,-1.0039,
