time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
,0.164,-0.351,-0.707,-0.53,-0.06,-0.21,-0.44,0.92,0.55
2022-01-30 16:28:10.1140,0.127,-0.324,-0.66,-0.61,-0.7,-1.26,-0.44,0.92,0.55
2022-01-30 16:28:10.1220,0.215,-0.244,-0.628,-0.95,-1.49,-2.79,0.26,0.55,0.5
2022-01-30 16:28:10.1270,0.265,-0.259,-0.729,-1.7,-1.89,-2.12,0.59,0.23,0.58
2022-01-30 16:28:10.1380,0.236,-0.398,-0.866,-1.67,-0.88,-0.87,0.88,-0.04,0.78
2022-01-30 16:28:10.1480,0.151,-0.493,-1.023,-0.15,0.41,1.84,0.97,-0.39,1.03
Time,0.064,-0.473,-1.048,0.33,0.09,0.32,0.9,-0.34,1.23
2022-01-30 16:28:10.1690,0.008,-0.481,-0.838,0.33,0.09,0.32,0.72,0.09,1.53
2022-01-30 16:28:10.1790,0.034,-0.479,-0.653,-0.42,-0.32,-3.13,0.47,0.72,1.76
2022-01-30 16:28:10.1890,0.136,-0.411,-0.538,-0.42,-0.32,-3.13,0.47,0.72,1.76
2022-01-30 16:28:10.1990,0.219,-0.382,-0.667,-1.35,-0.88,-2.9,-0.11,1.1,1.89
2022-01-30 16:28:10.2170,0.248,-0.431,-1.004,-1.88,0.23,3.23,-0.41,0.35,1.86
2022-01-30 16:28:10.2190,0.235,-0.536,-1.304,-1.88,0.23,3.23,-0.65,-0.72,1.81
2022-01-30 16:28:10.2290,0.172,-0.623,-1.366,-1.6,1.27,4.83,-0.76,-1.56,1.8
2022-01-30 16:28:10.2390,0.063,-0.676,-1.199,-0.88,1.96,3.81,-0.72,-1.89,1.87
2022-01-30 16:28:10.2480,-0.043,-0.666,-0.998,0.0,2.25,1.69,-0.72,-1.89,1.87
2022-01-30 16:28:10.2590,-0.085,-0.569,-0.888,0.45,1.59,0.27,-0.64,-1.84,1.95
2022-01-30 16:28:10.2690,-0.029,-0.492,-0.724,-0.93,0.29,-2.67,-0.86,0.12,1.97
2022-01-30 16:28:10.2790,0.047,-0.447,-0.672,-0.93,0.29,-2.67,-0.8,0.89,1.97
2022-01-30 16:28:10.2890,0.029,-0.406,-0.824,-0.59,-0.25,-0.65,-0.69,1.63,1.97
2022-01-30 16:28:10.2990,-0.019,-0.385,-0.868,-0.59,-0.25,-0.65,-0.57,2.19,1.94
2022-01-30 16:28:10.3180,-0.061,-0.35,-0.962,0.34,-0.98,1.28,-0.45,2.39,1.85
2022-01-30 16:28:10.3200,-0.076,-0.282,-1.11,0.34,-0.98,1.28,-0.3,2.05,1.91
2022-01-30 16:28:10.3290,-0.127,-0.331,-1.19,0.81,-1.01,2.64,-0.22,1.77,1.97
2022-01-30 16:28:10.3390,-0.122,-0.335,-1.074,1.19,-0.41,2.1,-0.2,1.6,1.9
2022-01-30 16:28:10.3490,-0.071,-0.315,-0.923,0.81,-0.86,0.52,-0.14,1.38,1.8
2022-01-30 16:28:10.3590,0.012,-0.335,-0.825,0.26,-0.55,-0.57,-0.07,1.19,1.58
2022-01-30 16:28:10.3690,0.134,-0.286,-0.764,-0.86,-0.83,-1.5,-0.07,1.19,1.58
2022-01-30 16:28:10.3790,0.15,-0.247,-0.903,-0.72,-1.49,0.43,-0.49,0.2,0.97
2022-01-30 16:28:10.3890,0.022,-0.23,-0.95,-0.72,-1.49,0.43,-0.68,-0.26,0.87
2022-01-30 16:28:10.4000,-0.111,-0.202,-0.793,0.67,-1.59,-0.68,-0.63,-0.2,0.77
2022-01-30 16:28:10.4100,-0.189,-0.131,-0.691,1.58,-2.12,-2.08,-0.44,0.1,0.6
2022-01-30 16:28:10.4190,-0.208,-0.088,-0.682,1.98,-2.68,-2.46,-0.44,0.1,0.6
2022-01-30 16:28:10.4300,-0.189,-0.093,-0.709,1.89,-2.75,-2.31,0.02,0.46,0.41
