
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.053699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1344,0.0799,-0.1979,
0.085086,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1313,0.1971,-0.2554,
0.086355,0.3158,0.3142,0.8637,0.0000,0.0000,0.0000,-0.1313,0.1971,-0.2554,
0.087278,0.3249,0.3379,0.8600,0.0000,0.0000,0.0000,-0.1313,0.1971,-0.2554,
0.088049,0.3303,0.3172,0.8499,0.0000,0.0000,0.0000,-0.1313,0.1971,-0.2554,
0.089010,0.3183,0.3162,0.8577,0.0000,0.0000,0.0000,-0.1313,0.1971,-0.2554,
0.089866,0.3067,0.3188,0.8772,0.0000,0.0000,0.0000,-0.1313,0.1971,-0.2554,
0.090714,0.3132,0.3134,0.8461,0.0000,0.0000,0.0000,-0.1313,0.1971,-0.2554,
0.125841,0.3132,0.3134,0.8461,0.0000,0.0000,0.0000,-0.0428,0.1545,-0.3044,
0.127757,0.3132,0.3134,0.8461,0.0000,0.0000,-0.0000,-0.0428,0.1545,-0.3044,
0.165355,0.3132,0.3134,0.8461,0.0000,0.0000,-0.0000,-0.1057,0.1779,-0.2234,
0.166825,0.3132,0.3134,0.8461,-0.2038,-0.0670,-0.0514,-0.1057,0.1779,-0.2234,
0.168575,0.2601,0.3035,0.8678,-0.2038,-0.0670,-0.0514,-0.1057,0.1779,-0.2234,
0.169897,0.2527,0.2967,0.8491,-0.2038,-0.0670,-0.0514,-0.1057,0.1779,-0.2234,
0.171070,0.2457,0.2895,0.8519,-0.2038,-0.0670,-0.0514,-0.1057,0.1779,-0.2234,
0.172392,0.2552,0.3092,0.8798,-0.2038,-0.0670,-0.0514,-0.1057,0.1779,-0.2234,
0.204662,0.2552,0.3092,0.8798,-0.2038,-0.0670,-0.0514,-0.1611,0.1406,-0.1222,
0.206319,0.2552,0.3092,0.8798,-0.0710,-0.0132,-0.0430,-0.1611,0.1406,-0.1222,
0.232044,0.2760,0.3343,0.9254,-0.0710,-0.0132,-0.0430,-0.1611,0.1406,-0.1222,
0.233792,0.2590,0.3057,0.9445,-0.0710,-0.0132,-0.0430,-0.1611,0.1406,-0.1222,
0.235147,0.2400,0.3028,0.9647,-0.0710,-0.0132,-0.0430,-0.1611,0.1406,-0.1222,
0.244340,0.2400,0.3028,0.9647,-0.0710,-0.0132,-0.0430,-0.1728,0.2035,-0.1212,
0.247630,0.2400,0.3028,0.9647,-0.0089,0.0631,0.2374,-0.1728,0.2035,-0.1212,
0.283738,0.2400,0.3028,0.9647,-0.0089,0.0631,0.2374,-0.1834,0.3153,-0.0914,
0.285459,0.2400,0.3028,0.9647,-0.0961,0.0440,0.5167,-0.1834,0.3153,-0.0914,
0.309794,0.2323,0.2997,0.9532,-0.0961,0.0440,0.5167,-0.1834,0.3153,-0.0914,
0.311697,0.2321,0.3155,0.9273,-0.0961,0.0440,0.5167,-0.1834,0.3153,-0.0914,
0.312819,0.2695,0.3228,0.9556,-0.0961,0.0440,0.5167,-0.1834,0.3153,-0.0914,
0.313794,0.2999,0.3354,0.9724,-0.0961,0.0440,0.5167,-0.1834,0.3153,-0.0914,
0.324040,0.2999,0.3354,0.9724,-0.0961,0.0440,0.5167,-0.0077,0.3207,-0.0796,
0.325255,0.2999,0.3354,0.9724,0.0190,0.0294,0.3643,-0.0077,0.3207,-0.0796,
0.363400,0.2999,0.3354,0.9724,0.0190,0.0294,0.3643,0.6624,-0.1523,-0.1457,
0.365070,0.2999,0.3354,0.9724,0.3324,0.0047,0.4688,0.6624,-0.1523,-0.1457,
0.389186,0.3230,0.3149,0.9918,0.3324,0.0047,0.4688,0.6624,-0.1523,-0.1457,
0.390968,0.3251,0.2874,0.8611,0.3324,0.0047,0.4688,0.6624,-0.1523,-0.1457,
0.392357,0.2223,0.3147,0.8865,0.3324,0.0047,0.4688,0.6624,-0.1523,-0.1457,
0.393512,0.1813,0.3202,0.9105,0.3324,0.0047,0.4688,0.6624,-0.1523,-0.1457,
0.405317,0.1813,0.3202,0.9105,-0.0410,-0.5695,0.0522,0.6624,-0.1523,-0.1457,
0.407041,0.1813,0.3202,0.9105,-0.0410,-0.5695,0.0522,1.3537,-0.7393,-0.0413,
0.442658,0.1813,0.3202,0.9105,-0.0410,-0.5695,0.0522,0.5665,0.5039,0.2645,
0.447112,0.1813,0.3202,0.9105,0.1755,-0.1172,-2.0057,0.5665,0.5039,0.2645,
0.456939,0.2010,0.3301,0.7052,0.1755,-0.1172,-2.0057,0.5665,0.5039,0.2645,
0.458040,0.3530,0.4054,0.4942,0.1755,-0.1172,-2.0057,0.5665,0.5039,0.2645,
0.458787,0.3823,0.3794,0.6140,0.1755,-0.1172,-2.0057,0.5665,0.5039,0.2645,
0.484915,0.3823,0.3794,0.6140,0.1755,-0.1172,-2.0057,-0.2292,-0.4495,0.1228,
0.486609,0.3823,0.3794,0.6140,0.0073,-0.0245,-1.7072,-0.2292,-0.4495,0.1228,
0.521139,0.3823,0.3794,0.6140,0.0073,-0.0245,-1.7072,0.2064,-1.9175,0.0652,
0.522424,0.3823,0.3794,0.6140,0.8950,-1.3077,-0.9672,0.2064,-1.9175,0.0652,
0.536020,0.3842,0.2286,0.6919,0.8950,-1.3077,-0.9672,0.2064,-1.9175,0.0652,
0.536959,0.4596,0.1633,0.7007,0.8950,-1.3077,-0.9672,0.2064,-1.9175,0.0652,
0.537697,0.6108,0.2107,0.6317,0.8950,-1.3077,-0.9672,0.2064,-1.9175,0.0652,
0.538250,0.4440,0.1586,0.5298,0.8950,-1.3077,-0.9672,0.2064,-1.9175,0.0652,
0.560453,0.4440,0.1586,0.5298,0.8950,-1.3077,-0.9672,0.2661,-2.3031,-0.0743,
0.561345,0.4440,0.1586,0.5298,0.1944,-1.2234,-0.5087,0.2661,-2.3031,-0.0743,
0.602785,0.4440,0.1586,0.5298,0.1944,-1.2234,-0.5087,0.8243,-4.0586,0.2059,
0.603832,0.4440,0.1586,0.5298,-1.1214,-1.9903,-1.4667,0.8243,-4.0586,0.2059,
0.613521,0.3356,0.1038,0.4199,-1.1214,-1.9903,-1.4667,0.8243,-4.0586,0.2059,
0.614577,0.2701,0.0655,0.3815,-1.1214,-1.9903,-1.4667,0.8243,-4.0586,0.2059,
0.615778,0.2055,0.0021,0.4044,-1.1214,-1.9903,-1.4667,0.8243,-4.0586,0.2059,
0.617039,0.3290,-0.0285,0.4159,-1.1214,-1.9903,-1.4667,0.8243,-4.0586,0.2059,
0.640650,0.3290,-0.0285,0.4159,-1.1214,-1.9903,-1.4667,0.6901,-4.4911,1.0495,
0.642126,0.3290,-0.0285,0.4159,-3.2282,-3.0213,-0.9204,0.6901,-4.4911,1.0495,
0.680850,0.3290,-0.0285,0.4159,-3.2282,-3.0213,-0.9204,0.3289,-4.2003,1.8347,
0.683135,0.3290,-0.0285,0.4159,-2.8154,-3.0943,1.8828,0.3289,-4.2003,1.8347,
0.684601,0.3455,-0.0575,0.4628,-2.8154,-3.0943,1.8828,0.3289,-4.2003,1.8347,
0.685813,0.3348,-0.0975,0.5577,-2.8154,-3.0943,1.8828,0.3289,-4.2003,1.8347,
0.687141,0.3825,-0.1088,0.6552,-2.8154,-3.0943,1.8828,0.3289,-4.2003,1.8347,
0.688627,0.6096,-0.0796,0.7055,-2.8154,-3.0943,1.8828,0.3289,-4.2003,1.8347,
0.722157,0.6096,-0.0796,0.7055,-2.8154,-3.0943,1.8828,0.8477,-3.9351,2.6602,
0.723983,0.6096,-0.0796,0.7055,-3.2313,-2.2466,2.7569,0.8477,-3.9351,2.6602,
0.759528,0.8576,-0.0836,0.8030,-3.2313,-2.2466,2.7569,0.8477,-3.9351,2.6602,
0.761326,0.9086,-0.0512,0.8761,-3.2313,-2.2466,2.7569,0.8477,-3.9351,2.6602,
0.762575,0.9895,-0.0368,0.8337,-3.2313,-2.2466,2.7569,0.8477,-3.9351,2.6602,
0.763517,0.9895,-0.0368,0.8337,-3.2313,-2.2466,2.7569,0.8786,-2.2307,3.1002,
0.764735,0.9895,-0.0368,0.8337,0.9744,-1.0995,5.0941,0.8786,-2.2307,3.1002,
