time,gFx,gFy,gFz,TgF
0.003831461,0.5556,0.8070,0.2277,1.006
0.004035077,0.5527,0.8060,0.2289,1.004
0.004124077,0.5492,0.8048,0.2272,1.000
0.004205154,0.5475,0.8036,0.2248,0.998
0.004288577,0.5463,0.8040,0.2233,0.997
0.005330885,0.5475,0.8060,0.2191,0.999
0.006969154,0.5473,0.8062,0.2123,0.997
0.0088165,0.5478,0.8067,0.2103,0.998
0.014493538,0.5502,0.8089,0.1989,0.998
0.014823654,0.5512,0.8089,0.1952,0.998
0.014953654,0.5524,0.8094,0.1920,0.999
0.016939846,0.5546,0.8114,0.1845,1.000
0.019178654,0.5539,0.8133,0.1801,1.000
0.020903269,0.5531,0.8145,0.1803,1.001
0.022711077,0.5529,0.8187,0.1786,1.004
0.024651461,0.5517,0.8182,0.1766,1.003
0.027278269,0.5507,0.8194,0.1749,1.003
0.029246,0.5512,0.8197,0.1710,1.002
0.033218615,0.5485,0.8153,0.1693,0.997
0.033382308,0.5485,0.8153,0.1693,0.997
0.034738461,0.5456,0.8141,0.1735,0.995
0.036758461,0.5441,0.8121,0.1759,0.993
0.038758654,0.5409,0.8106,0.1849,0.992
0.040857692,0.5399,0.8126,0.1937,0.995
0.045380769,0.5404,0.8126,0.1996,0.996
0.045585385,0.5429,0.8123,0.2089,0.999
0.049426961,0.5461,0.8123,0.2150,1.002
0.049893038,0.5480,0.8141,0.2174,1.005
0.052993461,0.5553,0.8177,0.2221,1.013
0.053171115,0.5566,0.8185,0.2233,1.015
0.054918038,0.5578,0.8192,0.2235,1.016
0.057289769,0.5614,0.8192,0.2226,1.018
0.059706654,0.5614,0.8189,0.2199,1.017
0.062915038,0.5614,0.8197,0.2179,1.017
0.064881885,0.5610,0.8202,0.2135,1.016
0.068365692,0.5597,0.8211,0.2128,1.016
0.068631615,0.5597,0.8209,0.2106,1.016
0.068779885,0.5585,0.8229,0.2072,1.016
0.073135769,0.5568,0.8238,0.2033,1.015
0.073470346,0.5568,0.8238,0.2033,1.015
0.074729154,0.5561,0.8255,0.2003,1.015
0.077209077,0.5558,0.8248,0.1994,1.014
0.079745923,0.5563,0.8248,0.1976,1.014
0.081256808,0.5583,0.8251,0.1981,1.016
0.083100192,0.5605,0.8251,0.1969,1.017
0.084826769,0.5617,0.8231,0.1959,1.016
0.087192577,0.5617,0.8231,0.1954,1.015
0.089237538,0.5610,0.8216,0.1969,1.014
0.094120423,0.5612,0.8231,0.2023,1.017
0.094329615,0.5614,0.8236,0.2035,1.017
0.095788692,0.5627,0.8246,0.2052,1.019
0.098964769,0.5658,0.8255,0.2099,1.023
0.099378923,0.5688,0.8260,0.2138,1.025
0.101059692,0.5720,0.8285,0.2150,1.029
0.102813115,0.5746,0.8270,0.2169,1.030
0.104732461,0.5771,0.8265,0.2184,1.031
0.106649192,0.5785,0.8270,0.2196,1.033
0.108606538,0.5807,0.8243,0.2189,1.032
0.1125175,0.5837,0.8219,0.2169,1.031
0.113176038,0.5837,0.8219,0.2169,1.031
0.114737461,0.5844,0.8204,0.2165,1.030
0.116544346,0.5847,0.8187,0.2160,1.029
0.118495269,0.5842,0.8163,0.2138,1.026
0.120818,0.5837,0.8128,0.2128,1.023
0.122773808,0.5827,0.8121,0.2116,1.022
0.125174923,0.5803,0.8089,0.2106,1.018
0.127914615,0.5768,0.8072,0.2079,1.014
0.131099308,0.5749,0.8070,0.2060,1.012
0.132895269,0.5705,0.8038,0.2038,1.007
0.133089269,0.5690,0.8028,0.2033,1.005
0.135021461,0.5673,0.8028,0.2028,1.004
0.1375125,0.5663,0.8021,0.2033,1.003
0.139585038,0.5639,0.8021,0.2033,1.001
0.141330038,0.5612,0.8036,0.2030,1.001
0.146351231,0.5566,0.8031,0.2033,0.998
0.146541423,0.5546,0.8033,0.2040,0.997
0.147820654,0.5514,0.8040,0.2033,0.996
0.149463077,0.5468,0.8058,0.2020,0.995
0.153243077,0.5399,0.8070,0.1991,0.991
0.153350654,0.5399,0.8070,0.1991,0.991
0.154763,0.5353,0.8087,0.1979,0.990
0.157163923,0.5338,0.8094,0.1962,0.989
0.159242231,0.5324,0.8102,0.1942,0.989
0.164394731,0.5297,0.8087,0.1930,0.986
0.164588231,0.5292,0.8094,0.1908,0.986
0.165759269,0.5285,0.8097,0.1862,0.985
0.167455577,0.5285,0.8094,0.1803,0.983
0.169046115,0.5294,0.8087,0.1752,0.982
0.173337077,0.5324,0.8072,0.1524,0.979
0.173487461,0.5321,0.8062,0.1454,0.977
0.174749154,0.5321,0.8065,0.1373,0.976
0.177490923,0.5326,0.8087,0.1239,0.976
0.179400654,0.5321,0.8092,0.1190,0.976
0.180848077,0.5329,0.8089,0.1097,0.975
0.183026923,0.5370,0.8104,0.1033,0.978
0.185217769,0.5377,0.8121,0.1002,0.979
0.186750615,0.5390,0.8141,0.0931,0.981
0.188989654,0.5429,0.8136,0.0860,0.982
0.192854808,0.5446,0.8119,0.0779,0.981
0.192957884,0.5446,0.8119,0.0779,0.981
0.196492269,0.5473,0.8123,0.0711,0.982
0.197492884,0.5475,0.8109,0.0682,0.981
0.198950154,0.5524,0.8082,0.0611,0.981
0.201077808,0.5529,0.8072,0.0557,0.980
0.202903192,0.5536,0.8058,0.0542,0.979
0.204872923,0.5563,0.8033,0.0537,0.979
0.207173192,0.5617,0.8026,0.0552,0.981
0.208897346,0.5629,0.8016,0.0569,0.981
0.213486808,0.5656,0.8006,0.0645,0.982
0.213891538,0.5666,0.8009,0.0674,0.983
0.215611692,0.5683,0.7996,0.0708,0.984
0.217151538,0.5732,0.7987,0.0782,0.986
0.219017384,0.5763,0.7989,0.0826,0.989
0.220970154,0.5810,0.8006,0.0897,0.993
0.222969923,0.5908,0.7984,0.0958,0.998
0.224955654,0.5942,0.7974,0.0999,0.999
0.227535692,0.5964,0.7970,0.1092,1.001
0.2294505,0.5959,0.7984,0.1190,1.003
0.232902346,0.5900,0.8009,0.1322,1.003
0.233104846,0.5900,0.8009,0.1322,1.003
0.234915461,0.5859,0.8060,0.1444,1.007
0.237178846,0.5832,0.8072,0.1490,1.007
0.2391555,0.5781,0.8092,0.1600,1.007
0.241225961,0.5732,0.8126,0.1722,1.009
0.243171384,0.5700,0.8145,0.1788,1.010
0.246519731,0.5663,0.8211,0.1910,1.016
0.248246307,0.5646,0.8253,0.2057,1.021
