time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-01-31 9:55:09.8630,0.144,-0.182,-0.847,-0.18,0.84,-1.64,-1.12,-0.11,0.22
2022-01-31 9:55:35.4300,0.14,-0.176,-0.909,-0.02,0.75,-1.29,-1.12,-0.16,0.2
2022-01-31 9:55:35.4370,0.155,-0.138,-1.012,-0.01,0.76,-0.66,-1.0,-0.38,0.17
2022-01-31 9:55:35.4470,0.171,-0.104,-1.111,-0.25,0.47,0.38,-0.78,-0.76,0.09
2022-01-31 9:55:35.4580,0.129,-0.109,-1.134,-0.42,0.23,1.27,-0.54,-1.11,-0.02
2022-01-31 9:55:35.4680,0.083,-0.149,-1.061,-0.09,0.39,1.35,-0.33,-1.24,-0.15
2022-01-31 9:55:35.4780,0.04,-0.177,-0.973,0.24,0.82,0.55,-0.19,-1.19,-0.26
2022-01-31 9:55:35.4880,0.033,-0.185,-0.915,0.53,1.09,-0.3,-0.11,-1.08,-0.31
2022-01-31 9:55:35.4980,0.06,-0.17,-0.887,0.43,1.16,-0.82,-0.07,-0.93,-0.31
2022-01-31 9:55:35.5080,0.07,-0.16,-0.879,0.08,1.0,-1.09,-0.07,-0.89,-0.28
2022-01-31 9:55:35.5180,0.07,-0.166,-0.893,-0.08,0.94,-1.14,-0.08,-0.92,-0.25
2022-01-31 9:55:35.5280,0.058,-0.171,-0.893,-0.16,1.01,-1.01,-0.1,-0.83,-0.23
2022-01-31 9:55:35.5390,0.037,-0.169,-0.885,-0.1,1.07,-1.04,-0.13,-0.69,-0.21
2022-01-31 9:55:35.5480,0.026,-0.168,-0.887,0.04,1.06,-1.11,-0.2,-0.64,-0.17
2022-01-31 9:55:35.5580,0.03,-0.162,-0.902,0.06,1.07,-1.08,-0.31,-0.69,-0.11
2022-01-31 9:55:35.5690,0.043,-0.147,-0.917,-0.05,1.02,-0.92,-0.42,-0.73,-0.03
2022-01-31 9:55:35.5790,0.056,-0.13,-0.906,-0.26,0.93,-0.81,-0.47,-0.72,-0.01
2022-01-31 9:55:35.5890,0.048,-0.112,-0.902,-0.45,0.79,-0.93,-0.47,-0.69,-0.06
2022-01-31 9:55:35.5990,0.034,-0.091,-0.918,-0.41,0.68,-0.95,-0.43,-0.68,-0.11
2022-01-31 9:55:35.6090,0.029,-0.068,-0.923,-0.36,0.49,-0.78,-0.4,-0.68,-0.14
2022-01-31 9:55:35.6190,0.026,-0.058,-0.885,-0.36,0.32,-0.77,-0.38,-0.53,-0.17
2022-01-31 9:55:35.6290,-0.001,-0.053,-0.844,-0.38,0.27,-1.2,-0.33,-0.13,-0.21
2022-01-31 9:55:35.6390,-0.038,-0.061,-0.85,-0.08,0.26,-1.55,-0.27,0.36,-0.21
2022-01-31 9:55:35.6490,-0.041,-0.076,-0.916,0.32,0.39,-1.43,-0.17,0.68,-0.14
2022-01-31 9:55:35.6590,0.039,-0.063,-1.012,0.32,0.52,-0.7,-0.0,0.83,-0.01
2022-01-31 9:55:35.6690,0.107,-0.046,-1.065,-0.42,0.36,0.21,0.2,0.85,0.12
2022-01-31 9:55:35.6800,0.154,-0.046,-1.102,-0.96,0.18,0.68,0.44,0.71,0.25
2022-01-31 9:55:35.6890,0.186,-0.053,-1.162,-1.36,0.15,1.06,0.64,0.34,0.4
2022-01-31 9:55:35.6990,0.202,-0.058,-1.187,-1.61,0.16,1.67,0.7,-0.05,0.51
2022-01-31 9:55:35.7100,0.193,-0.033,-1.105,-1.77,0.11,1.8,0.66,-0.05,0.54
2022-01-31 9:55:35.7200,0.163,-0.013,-0.981,-1.64,-0.21,0.87,0.62,0.3,0.47
2022-01-31 9:55:35.7300,0.137,-0.016,-0.948,-1.31,-0.46,-0.27,0.54,0.59,0.39
2022-01-31 9:55:35.7400,0.1,-0.034,-0.975,-1.0,-0.44,-0.48,0.44,0.74,0.34
2022-01-31 9:55:35.7500,0.046,-0.022,-1.007,-0.53,-0.32,-0.18,0.36,0.78,0.24
2022-01-31 9:55:35.7600,0.012,0.0,-1.031,0.07,-0.51,0.14,0.25,0.69,0.11
2022-01-31 9:55:35.7700,0.015,-0.002,-1.023,0.43,-0.73,0.35,0.11,0.56,-0.03
2022-01-31 9:55:35.7800,0.047,-0.021,-0.965,0.4,-0.69,0.21,-0.07,0.52,-0.13
2022-01-31 9:55:35.7910,0.07,-0.048,-0.899,0.13,-0.47,-0.4,-0.28,0.56,-0.19
2022-01-31 9:55:35.8000,0.093,-0.07,-0.882,-0.02,-0.17,-1.01,-0.48,0.56,-0.21
2022-01-31 9:55:35.8100,0.111,-0.077,-0.897,-0.2,0.08,-1.1,-0.64,0.55,-0.24
2022-01-31 9:55:35.8200,0.128,-0.066,-0.923,-0.31,0.19,-0.94,-0.74,0.53,-0.28
2022-01-31 9:55:35.8310,0.146,-0.049,-0.971,-0.43,0.15,-0.66,-0.79,0.45,-0.31
2022-01-31 9:55:35.8410,0.158,-0.032,-1.013,-0.56,0.07,-0.18,-0.84,0.32,-0.35
2022-01-31 9:55:35.8520,0.134,-0.006,-1.049,-0.63,-0.03,0.21,-0.89,0.12,-0.44
2022-01-31 9:55:35.8610,0.07,0.007,-1.079,-0.3,-0.18,0.57,-0.96,-0.09,-0.59
2022-01-31 9:55:35.8710,0.066,0.009,-1.062,0.27,-0.18,0.82,-1.06,-0.15,-0.77
2022-01-31 9:55:35.8810,0.09,0.018,-1.04,0.24,-0.09,0.61,-1.2,-0.11,-0.91
2022-01-31 9:55:35.8910,0.112,0.042,-1.039,-0.01,-0.06,0.42,-1.33,-0.14,-1.01
2022-01-31 9:55:35.9010,0.122,0.068,-1.061,-0.24,-0.17,0.44,-1.4,-0.24,-1.1
2022-01-31 9:55:35.9110,0.124,0.08,-1.102,-0.36,-0.27,0.68,-1.41,-0.38,-1.19
2022-01-31 9:55:35.9210,0.121,0.077,-1.148,-0.41,-0.22,1.1,-1.38,-0.47,-1.26
2022-01-31 9:55:35.9310,0.129,0.066,-1.177,-0.45,-0.02,1.55,-1.33,-0.54,-1.26
2022-01-31 9:55:35.9420,0.151,0.062,-1.179,-0.6,0.22,1.81,-1.29,-0.64,-1.24
2022-01-31 9:55:35.9510,0.173,0.068,-1.159,-0.92,0.38,1.81,-1.26,-0.77,-1.25
