time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-02-08 11:15:38.9110,0.14,-0.191,-1.031,0.01,0.28,0.23,-0.22,-0.34,-0.14
2022-02-08 11:15:38.9200,0.142,-0.165,-1.039,-0.08,-0.14,0.64,-0.06,-0.21,-0.11
2022-02-08 11:15:38.9280,0.142,-0.165,-1.015,-0.09,-0.31,0.6,0.08,-0.07,-0.07
2022-02-08 11:15:38.9380,0.155,-0.193,-0.986,-0.12,-0.21,0.29,0.18,0.04,-0.0
2022-02-08 11:15:38.9480,0.179,-0.218,-0.973,-0.3,0.08,0.06,0.21,0.08,0.08
2022-02-08 11:15:38.9580,0.198,-0.229,-0.979,-0.54,0.24,0.03,0.21,0.02,0.15
2022-02-08 11:15:38.9680,0.166,-0.223,-0.949,-0.6,0.29,0.02,0.15,-0.12,0.18
2022-02-08 11:15:38.9780,0.103,-0.215,-0.903,-0.12,0.16,-0.41,0.05,-0.23,0.13
2022-02-08 11:15:38.9880,0.058,-0.213,-0.894,0.42,0.13,-0.76,-0.06,-0.28,0.04
2022-02-08 11:15:38.9980,0.042,-0.198,-0.912,0.76,0.07,-0.71,-0.11,-0.31,-0.08
2022-02-08 11:15:39.0080,0.067,-0.201,-0.923,0.72,-0.04,-0.54,-0.13,-0.33,-0.14
2022-02-08 11:15:39.0190,0.108,-0.23,-0.918,0.36,0.12,-0.51,-0.13,-0.32,-0.14
2022-02-08 11:15:39.0280,0.14,-0.25,-0.914,-0.07,0.43,-0.58,-0.14,-0.31,-0.1
2022-02-08 11:15:39.0390,0.143,-0.244,-0.918,-0.3,0.54,-0.59,-0.14,-0.28,-0.04
2022-02-08 11:15:39.0490,0.139,-0.228,-0.924,-0.31,0.44,-0.54,-0.13,-0.24,0.01
2022-02-08 11:15:39.0590,0.119,-0.215,-0.93,-0.25,0.29,-0.48,-0.1,-0.17,0.05
2022-02-08 11:15:39.0690,0.092,-0.203,-0.929,-0.02,0.18,-0.45,-0.07,-0.07,0.06
2022-02-08 11:15:39.0790,0.077,-0.206,-0.932,0.22,0.1,-0.46,-0.06,-0.02,0.05
2022-02-08 11:15:39.0890,0.075,-0.203,-0.944,0.3,0.16,-0.4,-0.08,-0.02,0.02
2022-02-08 11:15:39.0990,0.072,-0.191,-0.96,0.31,0.09,-0.26,-0.11,-0.01,-0.01
Time,0.074,-0.193,-0.968,0.34,0.0,-0.14,-0.12,0.01,-0.05
