
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.065450,-0.1737,0.2348,0.8010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.065734,-0.1068,0.2226,0.8465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066092,-0.0972,0.2957,1.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.084483,-0.0292,0.3233,1.0548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.091630,-0.1324,0.2489,0.9737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.092652,-0.1324,0.2489,0.9737,-0.0167,0.0313,0.1225,0.0000,0.0000,0.0000,
0.110995,-0.1686,0.1770,0.8695,-0.0167,0.0313,0.1225,0.0000,0.0000,0.0000,
0.112171,-0.1686,0.1770,0.8695,0.1783,-0.1872,-0.9197,0.0000,0.0000,0.0000,
0.133277,-0.1837,0.1204,1.0283,0.1783,-0.1872,-0.9197,0.0000,0.0000,0.0000,
0.134317,-0.1837,0.1204,1.0283,-0.0870,0.0570,0.4870,0.0000,0.0000,0.0000,
0.135446,-0.1837,0.1204,1.0283,-0.0870,0.0570,0.4870,-0.3558,-0.3396,-0.7600,
0.141259,-0.1837,0.1204,1.0283,-0.0870,0.0570,0.4870,-0.2544,-0.3640,-0.7172,
0.151887,-0.2068,0.1064,1.0953,-0.0870,0.0570,0.4870,-0.2544,-0.3640,-0.7172,
0.153375,-0.2068,0.1064,1.0953,-0.2155,0.1109,1.1416,-0.2544,-0.3640,-0.7172,
0.154436,-0.2068,0.1064,1.0953,-0.2155,0.1109,1.1416,-0.1726,-0.4526,-0.6494,
0.161060,-0.2068,0.1064,1.0953,-0.2155,0.1109,1.1416,-0.0755,-0.5338,-0.5309,
0.170777,-0.1768,0.1513,1.1454,-0.2155,0.1109,1.1416,-0.0755,-0.5338,-0.5309,
0.171876,-0.1768,0.1513,1.1454,-0.2492,0.2134,1.6149,-0.0755,-0.5338,-0.5309,
0.172806,-0.1768,0.1513,1.1454,-0.2492,0.2134,1.6149,0.0272,-0.4697,-0.3806,
0.182338,-0.1768,0.1513,1.1454,-0.2492,0.2134,1.6149,0.0803,-0.3493,-0.2725,
0.191021,-0.1258,0.1880,1.1177,-0.2492,0.2134,1.6149,0.0803,-0.3493,-0.2725,
0.192292,-0.1258,0.1880,1.1177,-0.1510,0.2257,1.3417,0.0803,-0.3493,-0.2725,
0.193288,-0.1258,0.1880,1.1177,-0.1510,0.2257,1.3417,0.0748,-0.3396,-0.2175,
0.201517,-0.1258,0.1880,1.1177,-0.1510,0.2257,1.3417,0.0296,-0.4410,-0.1735,
0.210931,-0.1327,0.1990,1.0483,-0.1510,0.2257,1.3417,0.0296,-0.4410,-0.1735,
0.212020,-0.1327,0.1990,1.0483,-0.0902,0.1353,0.7125,0.0296,-0.4410,-0.1735,
