
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.056221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1843,-0.1057,-0.4115,
0.057492,0.0202,0.4307,0.8808,0.0000,0.0000,0.0000,-0.1843,-0.1057,-0.4115,
0.058093,0.0202,0.4307,0.8808,0.0804,0.4792,-0.4317,-0.1843,-0.1057,-0.4115,
0.058651,0.0202,0.4307,0.8808,0.0804,0.4792,-0.4317,-0.2057,-0.1472,-0.4823,
0.059327,0.0202,0.4307,0.8808,0.0804,0.4792,-0.4317,-0.2087,-0.2358,-0.5526,
0.059958,0.0044,0.4523,0.9423,0.0804,0.4792,-0.4317,-0.2087,-0.2358,-0.5526,
0.060660,0.0044,0.4523,0.9423,-0.0740,0.6911,0.1705,-0.2087,-0.2358,-0.5526,
0.061378,0.0044,0.4523,0.9423,-0.0740,0.6911,0.1705,-0.1800,-0.2853,-0.6302,
0.062104,0.0128,0.4098,0.9927,-0.0740,0.6911,0.1705,-0.1800,-0.2853,-0.6302,
0.062799,0.0128,0.4098,0.9927,0.0086,0.2745,0.6649,-0.1800,-0.2853,-0.6302,
0.063414,0.0128,0.4098,0.9927,0.0086,0.2745,0.6649,-0.1055,-0.2602,-0.7114,
0.067019,0.0128,0.4098,0.9927,0.0086,0.2745,0.6649,0.0026,-0.1992,-0.7890,
0.074473,-0.0064,0.3909,0.9304,0.0086,0.2745,0.6649,0.0026,-0.1992,-0.7890,
0.075583,-0.0064,0.3909,0.9304,-0.0005,0.0325,0.0773,0.0026,-0.1992,-0.7890,
0.077138,-0.0064,0.3909,0.9304,-0.0005,0.0325,0.0773,0.1242,-0.2376,-0.8592,
0.088554,-0.0064,0.3909,0.9304,-0.0005,0.0325,0.0773,0.2299,-0.4429,-0.9044,
0.094755,-0.0530,0.3825,0.8995,-0.0005,0.0325,0.0773,0.2299,-0.4429,-0.9044,
0.095790,-0.0530,0.3825,0.8995,0.0116,-0.0834,-0.1961,0.2299,-0.4429,-0.9044,
0.097044,-0.0530,0.3825,0.8995,0.0116,-0.0834,-0.1961,0.3117,-0.7355,-0.9264,
0.107197,-0.0530,0.3825,0.8995,0.0116,-0.0834,-0.1961,0.3679,-0.9646,-0.9405,
0.114884,-0.0166,0.3781,0.9910,0.0116,-0.0834,-0.1961,0.3679,-0.9646,-0.9405,
0.115806,-0.0166,0.3781,0.9910,-0.0092,0.2101,0.5506,0.3679,-0.9646,-0.9405,
0.117104,-0.0166,0.3781,0.9910,-0.0092,0.2101,0.5506,0.3924,-0.9713,-0.9411,
0.127368,-0.0166,0.3781,0.9910,-0.0092,0.2101,0.5506,0.4248,-0.6219,-0.9112,
0.134777,-0.0206,0.3661,0.9535,-0.0092,0.2101,0.5506,0.4248,-0.6219,-0.9112,
0.135992,-0.0206,0.3661,0.9535,-0.0042,0.0735,0.1914,0.4248,-0.6219,-0.9112,
0.137925,-0.0206,0.3661,0.9535,-0.0042,0.0735,0.1914,0.3637,-0.5779,-0.8733,
0.147321,-0.0206,0.3661,0.9535,-0.0042,0.0735,0.1914,0.2336,-0.5284,-0.8324,
0.155795,-0.0143,0.4032,0.8601,-0.0042,0.0735,0.1914,0.2336,-0.5284,-0.8324,
0.157467,-0.0143,0.4032,0.8601,0.0075,-0.2107,-0.4495,0.2336,-0.5284,-0.8324,
0.158699,-0.0143,0.4032,0.8601,0.0075,-0.2107,-0.4495,0.0839,-0.3843,-0.7927,
0.167253,-0.0143,0.4032,0.8601,0.0075,-0.2107,-0.4495,-0.0444,-0.2150,-0.7780,
0.174966,0.0866,0.3991,0.9248,0.0075,-0.2107,-0.4495,-0.0444,-0.2150,-0.7780,
0.176410,0.0866,0.3991,0.9248,0.0086,0.0398,0.0922,-0.0444,-0.2150,-0.7780,
0.177528,0.0866,0.3991,0.9248,0.0086,0.0398,0.0922,-0.1195,-0.1124,-0.7890,
0.189289,0.0866,0.3991,0.9248,0.0086,0.0398,0.0922,-0.1745,-0.0898,-0.7841,
0.194689,0.0831,0.4263,0.9230,0.0086,0.0398,0.0922,-0.1745,-0.0898,-0.7841,
0.195919,0.0831,0.4263,0.9230,0.0155,0.0795,0.1720,-0.1745,-0.0898,-0.7841,
0.197294,0.0831,0.4263,0.9230,0.0155,0.0795,0.1720,-0.2557,-0.1075,-0.7285,
0.207276,0.0831,0.4263,0.9230,0.0155,0.0795,0.1720,-0.3462,-0.0690,-0.6326,
0.214830,0.1018,0.4455,0.9475,0.0155,0.0795,0.1720,-0.3462,-0.0690,-0.6326,
0.216164,0.1018,0.4455,0.9475,0.0486,0.2129,0.4528,-0.3462,-0.0690,-0.6326,
0.217370,0.1018,0.4455,0.9475,0.0486,0.2129,0.4528,-0.4262,-0.0061,-0.5251,
0.227276,0.1018,0.4455,0.9475,0.0486,0.2129,0.4528,-0.4769,0.0379,-0.4426,
0.234704,0.0693,0.4768,1.0199,0.0486,0.2129,0.4528,-0.4769,0.0379,-0.4426,
