
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.022552,0.0278,0.3500,0.9359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.022801,0.0324,0.3544,0.9210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.039324,0.0349,0.3512,0.9171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040073,0.0361,0.3539,0.9022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040456,0.0371,0.3488,0.9095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.040795,0.0412,0.3373,0.9262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.046326,0.0490,0.3224,0.9477,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.048442,0.0566,0.3114,0.9579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.053288,0.0639,0.2980,0.9572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.061031,0.0647,0.2901,0.9530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.064564,0.0617,0.2870,0.9347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.070258,0.0598,0.2826,0.9120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.078796,0.0520,0.2828,0.8976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.080576,0.0520,0.2828,0.8976,0.0000,0.0000,0.0000,-0.2001,-0.0021,-0.0648,
0.081488,0.0407,0.2884,0.8900,0.0000,0.0000,0.0000,-0.2001,-0.0021,-0.0648,
0.085468,0.0363,0.2894,0.8773,0.0000,0.0000,0.0000,-0.2001,-0.0021,-0.0648,
0.090137,0.0412,0.2967,0.8614,0.0000,0.0000,0.0000,-0.2001,-0.0021,-0.0648,
0.095567,0.0512,0.3036,0.8360,0.0000,0.0000,0.0000,-0.2001,-0.0021,-0.0648,
0.100126,0.0759,0.3114,0.7898,0.0000,0.0000,0.0000,-0.2001,-0.0021,-0.0648,
0.104143,0.0955,0.3221,0.7937,0.0000,0.0000,0.0000,-0.2001,-0.0021,-0.0648,
0.109400,0.1069,0.3329,0.8130,0.0000,0.0000,0.0000,-0.2001,-0.0021,-0.0648,
0.115442,0.1184,0.3375,0.8155,0.0000,0.0000,0.0000,-0.2001,-0.0021,-0.0648,
0.118581,0.1184,0.3375,0.8155,0.0000,0.0000,0.0000,-0.1447,-0.0617,-0.0403,
0.120645,0.1184,0.3375,0.8155,0.0000,0.0000,-0.0000,-0.1447,-0.0617,-0.0403,
0.121809,0.1343,0.3322,0.8108,0.0000,0.0000,-0.0000,-0.1447,-0.0617,-0.0403,
0.123916,0.1538,0.3263,0.8323,0.0000,0.0000,-0.0000,-0.1447,-0.0617,-0.0403,
0.130371,0.1531,0.3173,0.8529,0.0000,0.0000,-0.0000,-0.1447,-0.0617,-0.0403,
0.133300,0.1438,0.3021,0.8651,0.0000,0.0000,-0.0000,-0.1447,-0.0617,-0.0403,
0.139907,0.1377,0.2860,0.8822,0.0000,0.0000,-0.0000,-0.1447,-0.0617,-0.0403,
0.146288,0.1426,0.2835,0.9042,0.0000,0.0000,-0.0000,-0.1447,-0.0617,-0.0403,
0.149349,0.1365,0.2850,0.9191,0.0000,0.0000,-0.0000,-0.1447,-0.0617,-0.0403,
0.154353,0.1365,0.2850,0.9191,0.2910,0.0557,-0.3967,-0.1447,-0.0617,-0.0403,
0.155854,0.1194,0.2857,0.9386,0.2910,0.0557,-0.3967,-0.1447,-0.0617,-0.0403,
0.156397,0.1194,0.2857,0.9386,0.2910,0.0557,-0.3967,-0.3216,-0.1629,0.0470,
0.159051,0.1062,0.2855,0.9469,0.2910,0.0557,-0.3967,-0.3216,-0.1629,0.0470,
0.164065,0.1094,0.2892,0.9508,0.2910,0.0557,-0.3967,-0.3216,-0.1629,0.0470,
0.170853,0.1116,0.2936,0.9538,0.2910,0.0557,-0.3967,-0.3216,-0.1629,0.0470,
0.173759,0.1143,0.2960,0.9584,0.2910,0.0557,-0.3967,-0.3216,-0.1629,0.0470,
0.179239,0.1218,0.2923,0.9589,0.2910,0.0557,-0.3967,-0.3216,-0.1629,0.0470,
0.184531,0.1072,0.2650,0.9435,0.2910,0.0557,-0.3967,-0.3216,-0.1629,0.0470,
0.189500,0.0454,0.1565,0.8985,0.2910,0.0557,-0.3967,-0.3216,-0.1629,0.0470,
0.194561,0.1033,0.2054,0.8905,0.2910,0.0557,-0.3967,-0.3216,-0.1629,0.0470,
0.195679,0.1033,0.2054,0.8905,0.2910,0.0557,-0.3967,-0.2438,0.1524,0.0001,
0.196940,0.1033,0.2054,0.8905,0.1717,0.0698,-0.2150,-0.2438,0.1524,0.0001,
0.197705,0.1763,0.2716,0.8705,0.1717,0.0698,-0.2150,-0.2438,0.1524,0.0001,
0.205190,0.2005,0.3009,0.8748,0.1717,0.0698,-0.2150,-0.2438,0.1524,0.0001,
0.209211,0.2076,0.3092,0.8800,0.1717,0.0698,-0.2150,-0.2438,0.1524,0.0001,
0.214818,0.2042,0.3099,0.8599,0.1717,0.0698,-0.2150,-0.2438,0.1524,0.0001,
0.217500,0.2027,0.2977,0.8304,0.1717,0.0698,-0.2150,-0.2438,0.1524,0.0001,
0.223719,0.2012,0.2889,0.8206,0.1717,0.0698,-0.2150,-0.2438,0.1524,0.0001,
0.230510,0.1861,0.2875,0.8057,0.1717,0.0698,-0.2150,-0.2438,0.1524,0.0001,
0.233489,0.1683,0.2853,0.7735,0.1717,0.0698,-0.2150,-0.2438,0.1524,0.0001,
0.234782,0.1683,0.2853,0.7735,0.1717,0.0698,-0.2150,0.3762,0.0384,-0.0936,
0.236312,0.1683,0.2853,0.7735,0.2492,-0.2791,0.3629,0.3762,0.0384,-0.0936,
0.237634,0.1656,0.2831,0.7459,0.2492,-0.2791,0.3629,0.3762,0.0384,-0.0936,
0.242891,0.1844,0.2704,0.7209,0.2492,-0.2791,0.3629,0.3762,0.0384,-0.0936,
0.248052,0.2191,0.2574,0.6889,0.2492,-0.2791,0.3629,0.3762,0.0384,-0.0936,
0.252339,0.2288,0.2664,0.6865,0.2492,-0.2791,0.3629,0.3762,0.0384,-0.0936,
0.257742,0.1846,0.2887,0.7529,0.2492,-0.2791,0.3629,0.3762,0.0384,-0.0936,
0.263310,0.1570,0.3058,0.8453,0.2492,-0.2791,0.3629,0.3762,0.0384,-0.0936,
0.269926,0.1563,0.3107,0.8812,0.2492,-0.2791,0.3629,0.3762,0.0384,-0.0936,
0.272354,0.1543,0.3080,0.8890,0.2492,-0.2791,0.3629,0.3762,0.0384,-0.0936,
0.273389,0.1543,0.3080,0.8890,0.2492,-0.2791,0.3629,0.5093,-0.4676,-0.2214,
0.274578,0.1543,0.3080,0.8890,0.0780,-0.3082,0.2969,0.5093,-0.4676,-0.2214,
0.279736,0.1424,0.3090,0.9100,0.0780,-0.3082,0.2969,0.5093,-0.4676,-0.2214,
0.282944,0.1397,0.3199,0.9357,0.0780,-0.3082,0.2969,0.5093,-0.4676,-0.2214,
0.288487,0.1450,0.3417,0.9411,0.0780,-0.3082,0.2969,0.5093,-0.4676,-0.2214,
0.292828,0.1529,0.3615,0.9345,0.0780,-0.3082,0.2969,0.5093,-0.4676,-0.2214,
0.298628,0.1653,0.3725,0.9235,0.0780,-0.3082,0.2969,0.5093,-0.4676,-0.2214,
0.303154,0.2164,0.4204,0.9347,0.0780,-0.3082,0.2969,0.5093,-0.4676,-0.2214,
0.307238,0.1866,0.4426,0.8514,0.0780,-0.3082,0.2969,0.5093,-0.4676,-0.2214,
0.313685,0.0735,0.3490,0.7698,0.0780,-0.3082,0.2969,0.5093,-0.4676,-0.2214,
0.315086,0.0735,0.3490,0.7698,0.0780,-0.3082,0.2969,0.4284,-0.3493,-0.2992,
0.315934,0.0735,0.3490,0.7698,0.3486,-0.2407,-0.6152,0.4284,-0.3493,-0.2992,
0.317497,0.0434,0.2748,0.7674,0.3486,-0.2407,-0.6152,0.4284,-0.3493,-0.2992,
0.322222,0.0879,0.2562,0.7082,0.3486,-0.2407,-0.6152,0.4284,-0.3493,-0.2992,
0.326195,0.1854,0.3014,0.6826,0.3486,-0.2407,-0.6152,0.4284,-0.3493,-0.2992,
0.331743,0.2572,0.3405,0.7175,0.3486,-0.2407,-0.6152,0.4284,-0.3493,-0.2992,
0.336542,0.2464,0.2889,0.7341,0.3486,-0.2407,-0.6152,0.4284,-0.3493,-0.2992,
0.341434,0.2501,0.2640,0.8157,0.3486,-0.2407,-0.6152,0.4284,-0.3493,-0.2992,
0.347587,0.2736,0.3283,0.9418,0.3486,-0.2407,-0.6152,0.4284,-0.3493,-0.2992,
0.352731,0.2692,0.3971,0.9765,0.3486,-0.2407,-0.6152,0.4284,-0.3493,-0.2992,
0.354002,0.2692,0.3971,0.9765,0.3486,-0.2407,-0.6152,0.1961,-0.0596,-0.4696,
0.354845,0.2692,0.3971,0.9765,0.1883,0.0807,-0.2498,0.1961,-0.0596,-0.4696,
0.356897,0.2455,0.3832,0.9120,0.1883,0.0807,-0.2498,0.1961,-0.0596,-0.4696,
0.362776,0.2252,0.3173,0.8685,0.1883,0.0807,-0.2498,0.1961,-0.0596,-0.4696,
0.367650,0.2161,0.2735,0.8922,0.1883,0.0807,-0.2498,0.1961,-0.0596,-0.4696,
0.372274,0.2174,0.2586,0.9264,0.1883,0.0807,-0.2498,0.1961,-0.0596,-0.4696,
0.376913,0.2259,0.2559,0.9218,0.1883,0.0807,-0.2498,0.1961,-0.0596,-0.4696,
0.382402,0.2499,0.2515,0.8919,0.1883,0.0807,-0.2498,0.1961,-0.0596,-0.4696,
0.387709,0.2745,0.2339,0.8614,0.1883,0.0807,-0.2498,0.1961,-0.0596,-0.4696,
0.392439,0.3063,0.2254,0.8079,0.1883,0.0807,-0.2498,0.1961,-0.0596,-0.4696,
0.393534,0.3063,0.2254,0.8079,0.1883,0.0807,-0.2498,-0.5442,0.1162,-0.4803,
0.394196,0.3063,0.2254,0.8079,0.2291,0.1878,-0.2586,-0.5442,0.1162,-0.4803,
0.397498,0.3256,0.2161,0.7356,0.2291,0.1878,-0.2586,-0.5442,0.1162,-0.4803,
0.401968,0.3241,0.1941,0.6672,0.2291,0.1878,-0.2586,-0.5442,0.1162,-0.4803,
0.406847,0.3595,0.2012,0.6173,0.2291,0.1878,-0.2586,-0.5442,0.1162,-0.4803,
0.413457,0.4050,0.2198,0.6022,0.2291,0.1878,-0.2586,-0.5442,0.1162,-0.4803,
0.416090,0.4433,0.2337,0.5946,0.2291,0.1878,-0.2586,-0.5442,0.1162,-0.4803,
0.421094,0.4736,0.2459,0.5915,0.2291,0.1878,-0.2586,-0.5442,0.1162,-0.4803,
0.426138,0.4744,0.1914,0.5885,0.2291,0.1878,-0.2586,-0.5442,0.1162,-0.4803,
0.431230,0.4849,0.1484,0.5954,0.2291,0.1878,-0.2586,-0.5442,0.1162,-0.4803,
0.432794,0.4849,0.1484,0.5954,0.2291,0.1878,-0.2586,-0.4185,-0.6860,-0.2555,
0.433600,0.4849,0.1484,0.5954,0.8835,-0.2410,-0.0324,-0.4185,-0.6860,-0.2555,
0.436017,0.5323,0.2115,0.5897,0.8835,-0.2410,-0.0324,-0.4185,-0.6860,-0.2555,
0.440469,0.5816,0.2606,0.6259,0.8835,-0.2410,-0.0324,-0.4185,-0.6860,-0.2555,
0.446623,0.6337,0.2809,0.6728,0.8835,-0.2410,-0.0324,-0.4185,-0.6860,-0.2555,
0.450892,0.6872,0.2801,0.7121,0.8835,-0.2410,-0.0324,-0.4185,-0.6860,-0.2555,
0.455514,0.7211,0.2506,0.7302,0.8835,-0.2410,-0.0324,-0.4185,-0.6860,-0.2555,
0.460743,0.7238,0.2100,0.7361,0.8835,-0.2410,-0.0324,-0.4185,-0.6860,-0.2555,
0.465131,0.7077,0.1704,0.7434,0.8835,-0.2410,-0.0324,-0.4185,-0.6860,-0.2555,
0.473038,0.6920,0.1470,0.7715,0.8835,-0.2410,-0.0324,-0.4185,-0.6860,-0.2555,
0.474408,0.6920,0.1470,0.7715,0.8835,-0.2410,-0.0324,-0.0979,-3.0242,0.0470,
0.475608,0.6920,0.1470,0.7715,2.5238,-0.6179,-1.3991,-0.0979,-3.0242,0.0470,
0.476697,0.6740,0.1238,0.8072,2.5238,-0.6179,-1.3991,-0.0979,-3.0242,0.0470,
0.481641,0.6439,0.0996,0.8275,2.5238,-0.6179,-1.3991,-0.0979,-3.0242,0.0470,
0.486539,0.6068,0.0830,0.8121,2.5238,-0.6179,-1.3991,-0.0979,-3.0242,0.0470,
0.491255,0.5667,0.0659,0.7783,2.5238,-0.6179,-1.3991,-0.0979,-3.0242,0.0470,
0.496468,0.5323,0.0515,0.7336,2.5238,-0.6179,-1.3991,-0.0979,-3.0242,0.0470,
0.501376,0.5037,0.0392,0.6850,2.5238,-0.6179,-1.3991,-0.0979,-3.0242,0.0470,
0.505627,0.4707,0.0385,0.6283,2.5238,-0.6179,-1.3991,-0.0979,-3.0242,0.0470,
0.511105,0.4385,0.0427,0.5746,2.5238,-0.6179,-1.3991,-0.0979,-3.0242,0.0470,
0.512443,0.4385,0.0427,0.5746,2.5238,-0.6179,-1.3991,0.1471,-4.1374,-0.3248,
0.513637,0.4385,0.0427,0.5746,1.1333,-0.6097,-0.6526,0.1471,-4.1374,-0.3248,
0.515306,0.4353,0.0522,0.5257,1.1333,-0.6097,-0.6526,0.1471,-4.1374,-0.3248,
0.522123,0.4468,0.0649,0.4825,1.1333,-0.6097,-0.6526,0.1471,-4.1374,-0.3248,
0.523887,0.4646,0.0830,0.4461,1.1333,-0.6097,-0.6526,0.1471,-4.1374,-0.3248,
0.530142,0.4807,0.0942,0.4141,1.1333,-0.6097,-0.6526,0.1471,-4.1374,-0.3248,
0.536906,0.4849,0.1020,0.3887,1.1333,-0.6097,-0.6526,0.1471,-4.1374,-0.3248,
0.539597,0.4849,0.0974,0.3645,1.1333,-0.6097,-0.6526,0.1471,-4.1374,-0.3248,
0.547151,0.4907,0.0898,0.3413,1.1333,-0.6097,-0.6526,0.1471,-4.1374,-0.3248,
0.550925,0.4939,0.0832,0.3181,1.1333,-0.6097,-0.6526,0.1471,-4.1374,-0.3248,
0.553272,0.4939,0.0832,0.3181,1.1333,-0.6097,-0.6526,0.8278,-4.7340,0.0800,
0.554261,0.4939,0.0832,0.3181,-0.6336,-1.9649,0.0677,0.8278,-4.7340,0.0800,
0.557606,0.5020,0.0717,0.2944,-0.6336,-1.9649,0.0677,0.8278,-4.7340,0.0800,
0.564458,0.5010,0.0517,0.2836,-0.6336,-1.9649,0.0677,0.8278,-4.7340,0.0800,
0.566653,0.4939,0.0368,0.2831,-0.6336,-1.9649,0.0677,0.8278,-4.7340,0.0800,
0.572927,0.4912,0.0175,0.3046,-0.6336,-1.9649,0.0677,0.8278,-4.7340,0.0800,
0.573768,0.4873,-0.0082,0.3384,-0.6336,-1.9649,0.0677,0.8278,-4.7340,0.0800,
0.580303,0.4920,-0.0314,0.3762,-0.6336,-1.9649,0.0677,0.8278,-4.7340,0.0800,
0.586229,0.5061,-0.0578,0.4221,-0.6336,-1.9649,0.0677,0.8278,-4.7340,0.0800,
0.590005,0.5386,-0.0768,0.4673,-0.6336,-1.9649,0.0677,0.8278,-4.7340,0.0800,
0.591046,0.5386,-0.0768,0.4673,-0.6336,-1.9649,0.0677,0.9621,-5.6022,1.0686,
0.592075,0.5386,-0.0768,0.4673,-1.6838,-1.6565,1.3894,0.9621,-5.6022,1.0686,
0.597095,0.5670,-0.0871,0.5074,-1.6838,-1.6565,1.3894,0.9621,-5.6022,1.0686,
0.600908,0.5965,-0.0824,0.5348,-1.6838,-1.6565,1.3894,0.9621,-5.6022,1.0686,
0.607609,0.6334,-0.0736,0.5441,-1.6838,-1.6565,1.3894,0.9621,-5.6022,1.0686,
0.610053,0.6696,-0.0665,0.5489,-1.6838,-1.6565,1.3894,0.9621,-5.6022,1.0686,
0.614792,0.6942,-0.0619,0.5350,-1.6838,-1.6565,1.3894,0.9621,-5.6022,1.0686,
0.620070,0.7172,-0.0592,0.5169,-1.6838,-1.6565,1.3894,0.9621,-5.6022,1.0686,
0.624818,0.7670,-0.0602,0.5008,-1.6838,-1.6565,1.3894,0.9621,-5.6022,1.0686,
0.629720,0.8289,-0.0568,0.4612,-1.6838,-1.6565,1.3894,0.9621,-5.6022,1.0686,
0.630854,0.8289,-0.0568,0.4612,-1.6838,-1.6565,1.3894,1.0473,-6.1774,2.1871,
0.631396,0.8289,-0.0568,0.4612,-2.5571,-1.6020,0.7281,1.0473,-6.1774,2.1871,
0.634488,0.8772,-0.0441,0.3818,-2.5571,-1.6020,0.7281,1.0473,-6.1774,2.1871,
0.638714,0.9046,-0.0270,0.2976,-2.5571,-1.6020,0.7281,1.0473,-6.1774,2.1871,
0.643369,0.9097,-0.0045,0.2233,-2.5571,-1.6020,0.7281,1.0473,-6.1774,2.1871,
0.648736,0.8763,0.0094,0.1712,-2.5571,-1.6020,0.7281,1.0473,-6.1774,2.1871,
0.657457,0.8333,-0.0003,0.1441,-2.5571,-1.6020,0.7281,1.0473,-6.1774,2.1871,
0.658913,0.7885,-0.0365,0.1114,-2.5571,-1.6020,0.7281,1.0473,-6.1774,2.1871,
0.664017,0.7460,-0.0893,0.0894,-2.5571,-1.6020,0.7281,1.0473,-6.1774,2.1871,
0.669226,0.7258,-0.1398,0.0821,-2.5571,-1.6020,0.7281,1.0473,-6.1774,2.1871,
0.670699,0.7258,-0.1398,0.0821,-2.5571,-1.6020,0.7281,1.4478,-4.8149,3.1459,
0.671774,0.7258,-0.1398,0.0821,-0.3671,-1.1194,1.8631,1.4478,-4.8149,3.1459,
0.674356,0.7287,-0.1704,0.0899,-0.3671,-1.1194,1.8631,1.4478,-4.8149,3.1459,
0.681631,0.7504,-0.1872,0.1009,-0.3671,-1.1194,1.8631,1.4478,-4.8149,3.1459,
0.683234,0.7969,-0.1902,0.1204,-0.3671,-1.1194,1.8631,1.4478,-4.8149,3.1459,
0.689452,0.8631,-0.2038,0.1483,-0.3671,-1.1194,1.8631,1.4478,-4.8149,3.1459,
0.695381,0.9447,-0.2334,0.1634,-0.3671,-1.1194,1.8631,1.4478,-4.8149,3.1459,
0.700241,1.0392,-0.2622,0.1698,-0.3671,-1.1194,1.8631,1.4478,-4.8149,3.1459,
0.704824,1.1164,-0.2708,0.1722,-0.3671,-1.1194,1.8631,1.4478,-4.8149,3.1459,
0.709772,1.1714,-0.2637,0.1742,-0.3671,-1.1194,1.8631,1.4478,-4.8149,3.1459,
0.711394,1.1714,-0.2637,0.1742,-0.3671,-1.1194,1.8631,1.6076,-3.9084,3.4346,
0.712748,1.1714,-0.2637,0.1742,-0.4771,-0.0519,2.8298,1.6076,-3.9084,3.4346,
0.713793,1.2171,-0.2466,0.1769,-0.4771,-0.0519,2.8298,1.6076,-3.9084,3.4346,
0.718733,1.2784,-0.2129,0.1786,-0.4771,-0.0519,2.8298,1.6076,-3.9084,3.4346,
0.723759,1.3497,-0.1682,0.1759,-0.4771,-0.0519,2.8298,1.6076,-3.9084,3.4346,
0.728676,1.4022,-0.1247,0.1708,-0.4771,-0.0519,2.8298,1.6076,-3.9084,3.4346,
0.733056,1.4157,-0.0959,0.1664,-0.4771,-0.0519,2.8298,1.6076,-3.9084,3.4346,
0.737751,1.3993,-0.0800,0.1500,-0.4771,-0.0519,2.8298,1.6076,-3.9084,3.4346,
0.743004,1.3627,-0.0800,0.1192,-0.4771,-0.0519,2.8298,1.6076,-3.9084,3.4346,
0.749590,1.3133,-0.1022,0.0779,-0.4771,-0.0519,2.8298,1.6076,-3.9084,3.4346,
0.751107,1.3133,-0.1022,0.0779,-0.4771,-0.0519,2.8298,1.0025,-1.9536,4.0599,
0.752481,1.3133,-0.1022,0.0779,1.8474,-0.3062,1.3293,1.0025,-1.9536,4.0599,
0.754015,1.2483,-0.1323,0.0386,1.8474,-0.3062,1.3293,1.0025,-1.9536,4.0599,
0.759426,1.1887,-0.1696,0.0098,1.8474,-0.3062,1.3293,1.0025,-1.9536,4.0599,
0.764567,1.1396,-0.2124,-0.0183,1.8474,-0.3062,1.3293,1.0025,-1.9536,4.0599,
0.768971,1.1210,-0.2488,-0.0401,1.8474,-0.3062,1.3293,1.0025,-1.9536,4.0599,
0.773795,1.1350,-0.2803,-0.0562,1.8474,-0.3062,1.3293,1.0025,-1.9536,4.0599,
0.781249,1.1714,-0.3123,-0.0682,1.8474,-0.3062,1.3293,1.0025,-1.9536,4.0599,
0.783595,1.2146,-0.3424,-0.0770,1.8474,-0.3062,1.3293,1.0025,-1.9536,4.0599,
0.789213,1.2520,-0.3541,-0.0836,1.8474,-0.3062,1.3293,1.0025,-1.9536,4.0599,
0.790594,1.2520,-0.3541,-0.0836,1.8474,-0.3062,1.3293,1.4052,-1.4263,3.2993,
0.791434,1.2520,-0.3541,-0.0836,1.9492,0.6894,1.5094,1.4052,-1.4263,3.2993,
0.792959,1.2757,-0.3556,-0.0792,1.9492,0.6894,1.5094,1.4052,-1.4263,3.2993,
0.798456,1.2940,-0.3592,-0.0753,1.9492,0.6894,1.5094,1.4052,-1.4263,3.2993,
0.803715,1.3177,-0.3668,-0.0616,1.9492,0.6894,1.5094,1.4052,-1.4263,3.2993,
0.808822,1.3439,-0.3712,-0.0371,1.9492,0.6894,1.5094,1.4052,-1.4263,3.2993,
0.814463,1.3717,-0.3658,-0.0117,1.9492,0.6894,1.5094,1.4052,-1.4263,3.2993,
0.817922,1.4086,-0.3517,-0.0056,1.9492,0.6894,1.5094,1.4052,-1.4263,3.2993,
0.823408,1.4482,-0.3265,-0.0198,1.9492,0.6894,1.5094,1.4052,-1.4263,3.2993,
0.831045,1.4482,-0.3265,-0.0198,4.0861,1.3886,0.3042,1.4052,-1.4263,3.2993,
0.832505,1.4770,-0.3055,-0.0428,4.0861,1.3886,0.3042,1.4052,-1.4263,3.2993,
0.833389,1.4770,-0.3055,-0.0428,4.0861,1.3886,0.3042,1.4542,-1.1078,2.8050,
0.834226,1.4936,-0.2916,-0.0728,4.0861,1.3886,0.3042,1.4542,-1.1078,2.8050,
0.838153,1.4983,-0.2916,-0.1117,4.0861,1.3886,0.3042,1.4542,-1.1078,2.8050,
0.841937,1.4794,-0.2972,-0.1380,4.0861,1.3886,0.3042,1.4542,-1.1078,2.8050,
0.847322,1.4533,-0.3140,-0.1549,4.0861,1.3886,0.3042,1.4542,-1.1078,2.8050,
0.851497,1.4318,-0.3370,-0.1578,4.0861,1.3886,0.3042,1.4542,-1.1078,2.8050,
0.856946,1.4145,-0.3651,-0.1449,4.0861,1.3886,0.3042,1.4542,-1.1078,2.8050,
0.861213,1.4054,-0.3932,-0.1246,4.0861,1.3886,0.3042,1.4542,-1.1078,2.8050,
0.866517,1.4118,-0.4232,-0.1100,4.0861,1.3886,0.3042,1.4542,-1.1078,2.8050,
0.867875,1.4118,-0.4232,-0.1100,4.0861,1.3886,0.3042,1.2294,-0.5294,2.3863,
0.868719,1.4118,-0.4232,-0.1100,5.6399,0.8899,-0.5542,1.2294,-0.5294,2.3863,
0.871185,1.4235,-0.4433,-0.0946,5.6399,0.8899,-0.5542,1.2294,-0.5294,2.3863,
0.877565,1.4233,-0.4640,-0.0792,5.6399,0.8899,-0.5542,1.2294,-0.5294,2.3863,
0.882296,1.4118,-0.4743,-0.0621,5.6399,0.8899,-0.5542,1.2294,-0.5294,2.3863,
0.887461,1.3966,-0.4772,-0.0447,5.6399,0.8899,-0.5542,1.2294,-0.5294,2.3863,
0.892413,1.3949,-0.4748,-0.0183,5.6399,0.8899,-0.5542,1.2294,-0.5294,2.3863,
0.898045,1.4025,-0.4868,0.0122,5.6399,0.8899,-0.5542,1.2294,-0.5294,2.3863,
0.902468,1.4052,-0.4946,0.0252,5.6399,0.8899,-0.5542,1.2294,-0.5294,2.3863,
0.907864,1.4052,-0.4777,0.0300,5.6399,0.8899,-0.5542,1.2294,-0.5294,2.3863,
0.909624,1.4052,-0.4777,0.0300,5.6399,0.8899,-0.5542,1.5554,-1.0982,1.6140,
0.910737,1.4052,-0.4777,0.0300,5.4780,1.3149,-0.4406,1.5554,-1.0982,1.6140,
0.914666,1.4047,-0.4567,0.0271,5.4780,1.3149,-0.4406,1.5554,-1.0982,1.6140,
0.916409,1.4147,-0.4325,0.0154,5.4780,1.3149,-0.4406,1.5554,-1.0982,1.6140,
0.921956,1.4213,-0.4169,-0.0034,5.4780,1.3149,-0.4406,1.5554,-1.0982,1.6140,
0.927379,1.4201,-0.4066,-0.0230,5.4780,1.3149,-0.4406,1.5554,-1.0982,1.6140,
0.932133,1.4198,-0.4059,-0.0574,5.4780,1.3149,-0.4406,1.5554,-1.0982,1.6140,
0.937191,1.4003,-0.4064,-0.0831,5.4780,1.3149,-0.4406,1.5554,-1.0982,1.6140,
0.940746,1.3698,-0.4078,-0.1073,5.4780,1.3149,-0.4406,1.5554,-1.0982,1.6140,
0.948476,1.3397,-0.4100,-0.1217,5.4780,1.3149,-0.4406,1.5554,-1.0982,1.6140,
0.950007,1.3397,-0.4100,-0.1217,5.2270,0.5075,-0.1870,1.5554,-1.0982,1.6140,
0.950893,1.3397,-0.4100,-0.1217,5.2270,0.5075,-0.1870,1.5181,-0.2141,1.2199,
0.951861,1.3114,-0.4186,-0.1312,5.2270,0.5075,-0.1870,1.5181,-0.2141,1.2199,
