
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.027096,0.3173,0.4997,0.8483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.081000,0.3173,0.4997,0.8483,0.0000,0.0000,0.0000,0.0532,0.4903,-0.2169,
0.103632,0.3346,0.4929,0.8446,0.0000,0.0000,0.0000,0.0532,0.4903,-0.2169,
0.104837,0.3487,0.5050,0.8242,0.0000,0.0000,0.0000,0.0532,0.4903,-0.2169,
0.105560,0.3665,0.5356,0.7579,0.0000,0.0000,0.0000,0.0532,0.4903,-0.2169,
0.106195,0.3806,0.5477,0.7293,0.0000,0.0000,0.0000,0.0532,0.4903,-0.2169,
0.106863,0.3200,0.5294,0.6634,0.0000,0.0000,0.0000,0.0532,0.4903,-0.2169,
0.120434,0.3200,0.5294,0.6634,0.0000,0.0000,0.0000,0.0255,0.1696,-0.4971,
0.121452,0.3200,0.5294,0.6634,0.0000,0.0000,-0.0000,0.0255,0.1696,-0.4971,
0.160086,0.3200,0.5294,0.6634,0.0000,0.0000,-0.0000,-0.3249,0.1441,-0.5440,
0.161267,0.3200,0.5294,0.6634,-0.2654,-0.0381,-0.2090,-0.3249,0.1441,-0.5440,
0.182862,0.2708,0.5419,0.7382,-0.2654,-0.0381,-0.2090,-0.3249,0.1441,-0.5440,
0.184642,0.2951,0.4869,0.8083,-0.2654,-0.0381,-0.2090,-0.3249,0.1441,-0.5440,
0.186401,0.3142,0.4682,0.8718,-0.2654,-0.0381,-0.2090,-0.3249,0.1441,-0.5440,
0.187797,0.3607,0.4154,0.9770,-0.2654,-0.0381,-0.2090,-0.3249,0.1441,-0.5440,
0.200556,0.3607,0.4154,0.9770,-0.2654,-0.0381,-0.2090,-0.6253,0.2101,-0.5312,
0.207739,0.3607,0.4154,0.9770,-0.0480,0.0416,-0.1801,-0.6253,0.2101,-0.5312,
0.238972,0.2835,0.3432,1.0784,-0.0480,0.0416,-0.1801,-0.6253,0.2101,-0.5312,
0.240245,0.1361,0.3103,1.1047,-0.0480,0.0416,-0.1801,-0.6253,0.2101,-0.5312,
0.241007,0.0682,0.3556,1.0845,-0.0480,0.0416,-0.1801,-0.6253,0.2101,-0.5312,
0.241835,0.0682,0.3556,1.0845,-0.0480,0.0416,-0.1801,-0.6221,0.2719,-0.6249,
0.245598,0.0682,0.3556,1.0845,0.2622,-0.6177,1.3395,-0.6221,0.2719,-0.6249,
0.279660,0.0682,0.3556,1.0845,0.2622,-0.6177,1.3395,-0.2695,0.0748,-0.3384,
0.281319,0.0682,0.3556,1.0845,0.2322,-0.3783,0.8547,-0.2695,0.0748,-0.3384,
0.318472,0.1019,0.4097,1.0835,0.2322,-0.3783,0.8547,-0.2695,0.0748,-0.3384,
0.320301,0.1578,0.4493,1.1192,0.2322,-0.3783,0.8547,-0.2695,0.0748,-0.3384,
0.321375,0.2011,0.4597,1.1036,0.2322,-0.3783,0.8547,-0.2695,0.0748,-0.3384,
0.322387,0.2011,0.4597,1.1036,0.2322,-0.3783,0.8547,-0.0991,-0.0242,-0.0923,
