
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.045021,-0.3660,-0.9206,0.2196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.103738,-0.3647,-0.9191,0.2226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.104481,-0.3647,-0.9191,0.2226,-3.6932,-13.1287,-6.7166,0.0000,0.0000,0.0000,
0.164170,-0.4165,-0.9255,0.2062,-3.6932,-13.1287,-6.7166,0.0000,0.0000,0.0000,
0.165566,-0.4165,-0.9255,0.2062,-3.9958,-13.3531,-6.8005,0.0000,0.0000,0.0000,
0.224085,-0.4439,-0.8615,0.2299,-3.9958,-13.3531,-6.8005,0.0000,0.0000,0.0000,
0.224882,-0.4439,-0.8615,0.2299,-4.0368,-12.9220,-6.4651,0.0000,0.0000,0.0000,
0.283796,-0.5277,-0.8373,0.2450,-4.0368,-12.9220,-6.4651,0.0000,0.0000,0.0000,
0.284653,-0.5277,-0.8373,0.2450,-4.0368,-12.9220,-6.4651,0.5456,0.4800,0.2875,
0.285140,-0.5277,-0.8373,0.2450,-4.6504,-12.9121,-6.1860,0.5456,0.4800,0.2875,
0.344574,-0.5715,-0.8695,0.3318,-4.6504,-12.9121,-6.1860,0.5456,0.4800,0.2875,
0.346732,-0.5715,-0.8695,0.3318,-4.6504,-12.9121,-6.1860,0.3361,0.4507,0.6314,
0.348107,-0.5715,-0.8695,0.3318,-4.9214,-13.4075,-5.2241,0.3361,0.4507,0.6314,
0.403866,-0.6360,-0.8710,0.4634,-4.9214,-13.4075,-5.2241,0.3361,0.4507,0.6314,
0.404571,-0.6360,-0.8710,0.4634,-5.5210,-13.5431,-3.8600,0.3361,0.4507,0.6314,
0.405051,-0.6360,-0.8710,0.4634,-5.5210,-13.5431,-3.8600,0.2786,0.5374,0.9717,
0.475654,-0.5424,-0.7266,0.2849,-5.5210,-13.5431,-3.8600,0.2786,0.5374,0.9717,
0.476458,-0.5424,-0.7266,0.2849,-4.5833,-12.3194,-5.4913,0.2786,0.5374,0.9717,
0.477040,-0.5424,-0.7266,0.2849,-4.5833,-12.3194,-5.4913,0.4124,0.2955,1.0993,
0.524748,-0.3601,-0.8312,0.1984,-4.5833,-12.3194,-5.4913,0.4124,0.2955,1.0993,
0.525556,-0.3601,-0.8312,0.1984,-3.0796,-13.3882,-6.3312,0.4124,0.2955,1.0993,
0.526102,-0.3601,-0.8312,0.1984,-3.0796,-13.3882,-6.3312,-0.2430,-0.7692,0.3156,
0.583792,-0.5111,-0.7022,0.3398,-3.0796,-13.3882,-6.3312,-0.2430,-0.7692,0.3156,
0.585079,-0.5111,-0.7022,0.3398,-4.9308,-11.8281,-5.1368,-0.2430,-0.7692,0.3156,
0.585980,-0.5111,-0.7022,0.3398,-4.9308,-11.8281,-5.1368,-0.5418,-0.4864,-0.1016,
0.643850,-0.4889,-0.7559,0.3349,-4.9308,-11.8281,-5.1368,-0.5418,-0.4864,-0.1016,
0.646127,-0.4889,-0.7559,0.3349,-4.6922,-12.1010,-5.3278,-0.5418,-0.4864,-0.1016,
0.648437,-0.4889,-0.7559,0.3349,-4.6922,-12.1010,-5.3278,-0.1832,0.2075,-0.0082,
0.703746,-0.5180,-0.7603,0.3726,-4.6922,-12.1010,-5.3278,-0.1832,0.2075,-0.0082,
0.705172,-0.5180,-0.7603,0.3726,-4.8899,-11.9699,-5.0503,-0.1832,0.2075,-0.0082,
0.706384,-0.5180,-0.7603,0.3726,-4.8899,-11.9699,-5.0503,-0.2266,-0.2317,-0.1065,
0.764135,-0.5666,-0.7173,0.3386,-4.8899,-11.9699,-5.0503,-0.2266,-0.2317,-0.1065,
0.768837,-0.5666,-0.7173,0.3386,-4.9468,-11.7792,-5.1477,-0.2266,-0.2317,-0.1065,
0.770990,-0.5666,-0.7173,0.3386,-4.9468,-11.7792,-5.1477,-0.2088,-0.1217,-0.2305,
0.823546,-0.6526,-0.6826,0.4082,-4.9468,-11.7792,-5.1477,-0.2088,-0.1217,-0.2305,
0.824806,-0.6526,-0.6826,0.4082,-6.1663,-10.8668,-4.8689,-0.2088,-0.1217,-0.2305,
0.825783,-0.6526,-0.6826,0.4082,-6.1663,-10.8668,-4.8689,-0.0653,0.3487,-0.1334,
0.884356,-0.6032,-0.6543,0.3687,-6.1663,-10.8668,-4.8689,-0.0653,0.3487,-0.1334,
0.885702,-0.6032,-0.6543,0.3687,-5.3679,-10.5243,-5.2733,-0.0653,0.3487,-0.1334,
0.886661,-0.6032,-0.6543,0.3687,-5.3679,-10.5243,-5.2733,-0.1111,0.2356,-0.1077,
0.945820,-0.5187,-0.7464,0.3689,-5.3679,-10.5243,-5.2733,-0.1111,0.2356,-0.1077,
0.946953,-0.5187,-0.7464,0.3689,-4.5744,-11.1842,-5.3813,-0.1111,0.2356,-0.1077,
0.947865,-0.5187,-0.7464,0.3689,-4.5744,-11.1842,-5.3813,-0.5919,-0.7582,-0.2287,
1.004371,-0.3709,-1.3034,0.3926,-4.5744,-11.1842,-5.3813,-0.5919,-0.7582,-0.2287,
1.006912,-0.3709,-1.3034,0.3926,-3.3303,-16.2742,-5.3079,-0.5919,-0.7582,-0.2287,
1.007935,-0.3709,-1.3034,0.3926,-3.3303,-16.2742,-5.3079,-0.4440,-0.4852,-0.4810,
1.063465,-0.4718,-0.7227,0.1947,-3.3303,-16.2742,-5.3079,-0.4440,-0.4852,-0.4810,
1.065152,-0.4718,-0.7227,0.1947,-3.3303,-16.2742,-5.3079,-0.2082,-0.1785,-0.0955,
1.066621,-0.4718,-0.7227,0.1947,-4.3445,-10.3599,-7.3303,-0.2082,-0.1785,-0.0955,
1.125204,-0.3261,-0.9013,0.0445,-4.3445,-10.3599,-7.3303,-0.2082,-0.1785,-0.0955,
1.126496,-0.3261,-0.9013,0.0445,-2.6116,-11.9556,-8.8419,-0.2082,-0.1785,-0.0955,
1.127554,-0.3261,-0.9013,0.0445,-2.6116,-11.9556,-8.8419,-0.2088,0.7873,-0.4828,
1.183782,-0.4073,-0.9467,-0.0171,-2.6116,-11.9556,-8.8419,-0.2088,0.7873,-0.4828,
1.185337,-0.4073,-0.9467,-0.0171,-3.1120,-12.1263,-9.5102,-0.2088,0.7873,-0.4828,
1.186416,-0.4073,-0.9467,-0.0171,-3.1120,-12.1263,-9.5102,-0.3640,-0.7216,-0.5610,
1.243529,-0.4974,-0.8610,-0.0550,-3.1120,-12.1263,-9.5102,-0.3640,-0.7216,-0.5610,
1.244701,-0.4974,-0.8610,-0.0550,-4.5216,-10.9165,-10.0203,-0.3640,-0.7216,-0.5610,
