
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.056103,0.0000,0.0000,0.0000,0.1290,-0.0297,0.2247,0.0000,0.0000,0.0000,
0.117383,0.0000,0.0000,0.0000,0.1853,-0.1602,0.2758,0.0000,0.0000,0.0000,
0.177226,0.0000,0.0000,0.0000,0.1870,-0.2973,0.3303,0.0000,0.0000,0.0000,
0.237051,0.0000,0.0000,0.0000,0.2274,-0.4108,0.3784,0.0000,0.0000,0.0000,
0.297184,0.0000,0.0000,0.0000,0.2274,-0.4108,0.3784,0.3237,0.0426,-0.0173,
0.297948,0.0000,0.0000,0.0000,0.2880,-0.5087,0.4225,0.3237,0.0426,-0.0173,
0.357613,0.0000,0.0000,0.0000,0.2880,-0.5087,0.4225,0.2284,0.0121,-0.0722,
0.358426,0.0000,0.0000,0.0000,0.8145,0.9075,-0.0314,0.2284,0.0121,-0.0722,
0.418048,0.0000,0.0000,0.0000,0.8145,0.9075,-0.0314,0.1838,-0.0191,-0.0912,
0.418914,0.0000,0.0000,0.0000,0.8576,0.8798,-0.0198,0.1838,-0.0191,-0.0912,
0.425263,-0.2614,-0.9900,-0.0398,0.8576,0.8798,-0.0198,0.1838,-0.0191,-0.0912,
0.477207,-0.2614,-0.9900,-0.0398,0.8576,0.8798,-0.0198,0.1117,0.0408,-0.1058,
0.478503,-0.2614,-0.9900,-0.0398,-1.5823,-12.1963,-9.8236,0.1117,0.0408,-0.1058,
0.485295,-0.2062,-0.9624,0.0806,-1.5823,-12.1963,-9.8236,0.1117,0.0408,-0.1058,
0.486348,-0.1986,-0.9653,0.0840,-1.5823,-12.1963,-9.8236,0.1117,0.0408,-0.1058,
0.487138,-0.1903,-0.9777,0.0928,-1.5823,-12.1963,-9.8236,0.1117,0.0408,-0.1058,
0.537330,-0.1903,-0.9777,0.0928,-1.5823,-12.1963,-9.8236,0.1496,0.1184,-0.1480,
0.538331,-0.1903,-0.9777,0.0928,-0.8074,-12.0555,-8.5206,0.1496,0.1184,-0.1480,
0.545717,-0.1805,-0.9907,0.1024,-0.8074,-12.0555,-8.5206,0.1496,0.1184,-0.1480,
0.546424,-0.1713,-0.9956,0.1082,-0.8074,-12.0555,-8.5206,0.1496,0.1184,-0.1480,
0.547159,-0.1647,-0.9953,0.1068,-0.8074,-12.0555,-8.5206,0.1496,0.1184,-0.1480,
0.597816,-0.1647,-0.9953,0.1068,-0.8074,-12.0555,-8.5206,0.1795,0.1837,-0.1089,
0.598782,-0.1647,-0.9953,0.1068,-0.4392,-12.2226,-8.3717,0.1795,0.1837,-0.1089,
0.605317,-0.1610,-0.9895,0.1226,-0.4392,-12.2226,-8.3717,0.1795,0.1837,-0.1089,
0.606139,-0.1630,-0.9817,0.1305,-0.4392,-12.2226,-8.3717,0.1795,0.1837,-0.1089,
0.606759,-0.1600,-0.9792,0.1437,-0.4392,-12.2226,-8.3717,0.1795,0.1837,-0.1089,
0.657328,-0.1600,-0.9792,0.1437,-0.4392,-12.2226,-8.3717,0.1557,0.2558,-0.0588,
0.658452,-0.1600,-0.9792,0.1437,-0.2446,-12.0746,-7.9877,0.1557,0.2558,-0.0588,
0.667443,-0.1749,-0.9848,0.1568,-0.2446,-12.0746,-7.9877,0.1557,0.2558,-0.0588,
0.670059,-0.1859,-0.9895,0.1752,-0.2446,-12.0746,-7.9877,0.1557,0.2558,-0.0588,
0.671639,-0.1874,-0.9868,0.1981,-0.2446,-12.0746,-7.9877,0.1557,0.2558,-0.0588,
0.718664,-0.1874,-0.9868,0.1981,-0.2446,-12.0746,-7.9877,0.1539,0.2191,-0.0038,
0.720180,-0.1874,-0.9868,0.1981,-0.3347,-12.1504,-7.4266,0.1539,0.2191,-0.0038,
0.726040,-0.1918,-0.9672,0.2074,-0.3347,-12.1504,-7.4266,0.1539,0.2191,-0.0038,
0.728360,-0.2011,-0.9555,0.2306,-0.3347,-12.1504,-7.4266,0.1539,0.2191,-0.0038,
0.730380,-0.2238,-0.9562,0.2463,-0.3347,-12.1504,-7.4266,0.1539,0.2191,-0.0038,
0.778120,-0.2238,-0.9562,0.2463,-0.3347,-12.1504,-7.4266,-0.1375,0.1996,0.0072,
0.780708,-0.2238,-0.9562,0.2463,-0.5650,-11.8023,-6.9466,-0.1375,0.1996,0.0072,
0.785959,-0.2355,-0.9445,0.2411,-0.5650,-11.8023,-6.9466,-0.1375,0.1996,0.0072,
0.787326,-0.2262,-0.9440,0.2172,-0.5650,-11.8023,-6.9466,-0.1375,0.1996,0.0072,
0.788393,-0.2260,-0.9426,0.1984,-0.5650,-11.8023,-6.9466,-0.1375,0.1996,0.0072,
0.838216,-0.2260,-0.9426,0.1984,-0.5650,-11.8023,-6.9466,-0.2023,0.1715,-0.0557,
0.839478,-0.2260,-0.9426,0.1984,-0.4596,-11.4846,-7.4388,-0.2023,0.1715,-0.0557,
0.845139,-0.2081,-0.9460,0.2169,-0.4596,-11.4846,-7.4388,-0.2023,0.1715,-0.0557,
0.846223,-0.2035,-0.9362,0.2111,-0.4596,-11.4846,-7.4388,-0.2023,0.1715,-0.0557,
0.846997,-0.2130,-0.9372,0.2155,-0.4596,-11.4846,-7.4388,-0.2023,0.1715,-0.0557,
0.897314,-0.2130,-0.9372,0.2155,-0.4596,-11.4846,-7.4388,-0.1894,0.1715,0.0096,
0.898715,-0.2130,-0.9372,0.2155,-0.2189,-11.2414,-7.2929,-0.1894,0.1715,0.0096,
