
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.027351,-0.2121,-0.9773,0.1666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.085778,-0.2028,-1.0227,0.1744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.086502,-0.2028,-1.0227,0.1744,-2.6424,-13.1983,-7.5455,0.0000,0.0000,0.0000,
0.145626,-0.2817,-0.9795,0.1957,-2.6424,-13.1983,-7.5455,0.0000,0.0000,0.0000,
0.146594,-0.2817,-0.9795,0.1957,-3.3738,-12.9799,-7.2671,0.0000,0.0000,0.0000,
0.205972,-0.2797,-0.8986,0.2404,-3.3738,-12.9799,-7.2671,0.0000,0.0000,0.0000,
0.206916,-0.2797,-0.8986,0.2404,-3.3219,-12.2433,-6.8103,0.0000,0.0000,0.0000,
0.265340,-0.2162,-0.9040,0.2424,-3.3219,-12.2433,-6.8103,0.0000,0.0000,0.0000,
0.266421,-0.2162,-0.9040,0.2424,-2.7540,-12.2258,-6.8136,0.0000,0.0000,0.0000,
0.325547,-0.2042,-0.9203,0.2551,-2.7540,-12.2258,-6.8136,0.0000,0.0000,0.0000,
0.326393,-0.2042,-0.9203,0.2551,-2.7540,-12.2258,-6.8136,0.0073,0.0322,-0.0954,
0.326926,-0.2042,-0.9203,0.2551,-2.6113,-12.2796,-6.7291,0.0073,0.0322,-0.0954,
0.385513,-0.2243,-0.9108,0.2494,-2.6113,-12.2796,-6.7291,0.0073,0.0322,-0.0954,
0.386462,-0.2243,-0.9108,0.2494,-2.6113,-12.2796,-6.7291,0.0665,0.1452,-0.0612,
0.387022,-0.2243,-0.9108,0.2494,-2.7479,-12.1315,-6.8071,0.0665,0.1452,-0.0612,
0.445238,-0.2108,-0.9245,0.2548,-2.7479,-12.1315,-6.8071,0.0665,0.1452,-0.0612,
0.445963,-0.2108,-0.9245,0.2548,-2.7479,-12.1315,-6.8071,-0.0367,0.1623,-0.0979,
0.446635,-0.2108,-0.9245,0.2548,-2.4887,-12.1929,-6.7860,-0.0367,0.1623,-0.0979,
0.508357,-0.2262,-0.9594,0.2580,-2.4887,-12.1929,-6.7860,-0.0367,0.1623,-0.0979,
0.509332,-0.2262,-0.9594,0.2580,-2.4887,-12.1929,-6.7860,-0.1418,0.0359,-0.0735,
0.509998,-0.2262,-0.9594,0.2580,-2.5352,-12.4008,-6.8033,-0.1418,0.0359,-0.0735,
0.564915,-0.2328,-0.9584,0.3132,-2.5352,-12.4008,-6.8033,-0.1418,0.0359,-0.0735,
0.565742,-0.2328,-0.9584,0.3132,-2.5352,-12.4008,-6.8033,-0.2371,-0.1578,-0.0215,
0.566440,-0.2328,-0.9584,0.3132,-2.5972,-12.2168,-6.3166,-0.2371,-0.1578,-0.0215,
0.625290,-0.2340,-0.9198,0.3633,-2.5972,-12.2168,-6.3166,-0.2371,-0.1578,-0.0215,
0.626077,-0.2340,-0.9198,0.3633,-2.5972,-12.2168,-6.3166,-0.3580,-0.2793,0.1660,
0.626729,-0.2340,-0.9198,0.3633,-2.7271,-11.6030,-5.8887,-0.3580,-0.2793,0.1660,
0.686381,-0.1261,-1.2228,0.1004,-2.7271,-11.6030,-5.8887,-0.3580,-0.2793,0.1660,
0.688998,-0.1261,-1.2228,0.1004,-2.7271,-11.6030,-5.8887,-0.2591,-0.2854,-0.2512,
0.690646,-0.1261,-1.2228,0.1004,-1.8694,-14.3513,-8.5113,-0.2591,-0.2854,-0.2512,
0.744746,-0.1261,-1.2228,0.1004,-1.8395,-14.1431,-8.5627,-0.2591,-0.2854,-0.2512,
0.747734,-0.1341,-0.9729,0.2250,-1.8395,-14.1431,-8.5627,-0.2591,-0.2854,-0.2512,
0.750160,-0.1341,-0.9729,0.2250,-1.8395,-14.1431,-8.5627,-0.0801,0.0200,-0.1315,
0.805549,-0.1341,-0.9729,0.2250,-1.8395,-14.1431,-8.5627,-0.2921,0.1483,0.2130,
0.807017,-0.2424,-0.8632,-0.0440,-1.8395,-14.1431,-8.5627,-0.2921,0.1483,0.2130,
0.808021,-0.2424,-0.8632,-0.0440,-2.9307,-10.4718,-10.0127,-0.2921,0.1483,0.2130,
0.865169,-0.2985,-0.9267,-0.1437,-2.9307,-10.4718,-10.0127,-0.2921,0.1483,0.2130,
0.866723,-0.2985,-0.9267,-0.1437,-2.9307,-10.4718,-10.0127,-0.4466,0.0145,-0.1669,
0.867699,-0.2985,-0.9267,-0.1437,-3.4095,-10.7643,-11.0569,-0.4466,0.0145,-0.1669,
0.927189,-0.2971,-1.0581,-0.0081,-3.4095,-10.7643,-11.0569,-0.4466,0.0145,-0.1669,
0.928884,-0.2971,-1.0581,-0.0081,-3.4095,-10.7643,-11.0569,-0.3061,-0.0533,-0.0081,
0.929843,-0.2971,-1.0581,-0.0081,-3.4168,-11.7662,-9.7725,-0.3061,-0.0533,-0.0081,
0.985322,-0.2172,-0.9697,-0.0342,-3.4168,-11.7662,-9.7725,-0.3061,-0.0533,-0.0081,
0.987157,-0.2172,-0.9697,-0.0342,-3.4168,-11.7662,-9.7725,-0.3348,0.2295,0.6461,
0.989437,-0.2172,-0.9697,-0.0342,-2.5835,-10.6181,-10.0676,-0.3348,0.2295,0.6461,
1.044778,-0.2372,-0.8817,-0.0572,-2.5835,-10.6181,-10.0676,-0.3348,0.2295,0.6461,
1.046065,-0.2372,-0.8817,-0.0572,-2.5835,-10.6181,-10.0676,-0.3660,0.4158,0.2185,
1.046815,-0.2372,-0.8817,-0.0572,-2.6020,-9.4541,-10.3292,-0.3660,0.4158,0.2185,
1.104615,-0.2810,-0.9152,-0.0603,-2.6020,-9.4541,-10.3292,-0.3660,0.4158,0.2185,
1.107065,-0.2810,-0.9152,-0.0603,-2.6020,-9.4541,-10.3292,-0.2744,0.4507,-0.1150,
1.109306,-0.2810,-0.9152,-0.0603,-2.7514,-9.5010,-10.3836,-0.2744,0.4507,-0.1150,
1.166821,-0.3193,-1.0405,0.0508,-2.7514,-9.5010,-10.3836,-0.2744,0.4507,-0.1150,
1.168243,-0.3193,-1.0405,0.0508,-2.7514,-9.5010,-10.3836,-0.0770,0.5594,0.1129,
1.169110,-0.3193,-1.0405,0.0508,-2.8230,-10.5211,-9.2985,-0.0770,0.5594,0.1129,
1.225638,-0.3169,-0.9194,0.0535,-2.8230,-10.5211,-9.2985,-0.0770,0.5594,0.1129,
1.226922,-0.3169,-0.9194,0.0535,-2.8230,-10.5211,-9.2985,0.1691,0.4751,0.1061,
1.228032,-0.3169,-0.9194,0.0535,-2.4627,-9.2850,-9.2574,0.1691,0.4751,0.1061,
1.284932,-0.3425,-0.9609,0.0193,-2.4627,-9.2850,-9.2574,0.1691,0.4751,0.1061,
1.287151,-0.3425,-0.9609,0.0193,-2.4627,-9.2850,-9.2574,0.2540,0.6657,-0.2640,
1.288738,-0.3425,-0.9609,0.0193,-2.3895,-9.7535,-9.5639,0.2540,0.6657,-0.2640,
1.345290,-0.4146,-0.9558,0.0696,-2.3895,-9.7535,-9.5639,0.2540,0.6657,-0.2640,
1.346737,-0.4146,-0.9558,0.0696,-2.3895,-9.7535,-9.5639,0.1655,0.6400,-0.1364,
1.347929,-0.4146,-0.9558,0.0696,-2.6637,-9.7479,-9.0165,0.1655,0.6400,-0.1364,
1.404853,-0.3801,-1.1947,0.0083,-2.6637,-9.7479,-9.0165,0.1655,0.6400,-0.1364,
