time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-01-25 17:40:15.3780,-0.038,-0.676,-0.693,0.98,2.58,-1.65,0.02,-0.2,0.01
2022-01-25 17:40:23.1520,-0.036,-0.629,-0.758,0.94,1.97,-1.85,-0.15,-0.12,-0.08
2022-01-25 17:40:23.1610,-0.061,-0.635,-0.875,0.97,1.73,-1.06,-0.21,-0.36,-0.1
2022-01-25 17:40:23.1720,-0.044,-0.726,-0.876,0.85,3.06,-0.55,-0.23,-0.47,-0.08
2022-01-25 17:40:23.1820,-0.024,-0.816,-0.733,0.85,3.06,-0.55,-0.21,-0.31,-0.01
2022-01-25 17:40:23.1910,-0.05,-0.799,-0.722,0.76,3.62,-1.73,-0.22,-0.09,0.08
2022-01-25 17:40:23.2010,-0.061,-0.786,-0.781,1.06,3.36,-0.9,-0.21,0.13,0.13
2022-01-25 17:40:23.2110,-0.045,-0.79,-0.887,1.06,3.36,-0.9,-0.16,0.23,0.12
2022-01-25 17:40:23.2210,-0.02,-0.799,-0.988,0.88,3.5499159586429596,1.0963704764842988,-0.08,0.24,0.11
2022-01-25 17:40:23.2320,0.001,-0.82,-1.048,0.65,3.54,1.09,0.01,0.2,0.08
2022-01-25 17:40:23.2410,0.019,-0.843,-1.083,0.47,3.77,1.59,0.05,0.15,0.05
2022-01-25 17:40:23.2520,0.033,-0.855,-1.081,0.31,3.99,1.87,0.05,0.15,0.04
2022-01-25 17:40:23.2620,0.047,-0.809,-1.053,0.07,3.39,1.52,0.0,0.25,0.05
2022-01-25 17:40:23.2720,0.063,-0.728,-1.064,0.07,3.39,1.52,-0.11,0.4,0.06
2022-01-25 17:40:23.2820,0.075,-0.675,-1.137,-0.06,2.67,1.77,-0.29,0.49,0.04
2022-01-25 17:40:23.2910,0.068,-0.63,-1.227,-0.09,2.22,2.58,-0.48,0.48,0.03
2022-01-25 17:40:23.3020,0.057,-0.588,-1.297,0.06,1.83,3.41,-0.62,0.45,0.05
2022-01-25 17:40:23.3120,0.067,-0.525,-1.365,0.15,1.44,4.02,-0.65,0.4,0.05
2022-01-25 17:40:23.3220,0.089,-0.459,-1.455,-0.14,0.29,5.56,-0.59,0.32,0.0
2022-01-25 17:40:23.3330,0.108,-0.419,-1.5,-0.14,0.29,5.56,-0.49,0.24,-0.02
2022-01-25 17:40:23.3420,0.129,-0.399,-1.44,-0.3,0.01,5.76,-0.35,0.24,0.02
2022-01-25 17:40:23.3520,0.146,-0.385,-1.296,-0.49,-0.12,4.9,-0.2,0.38,0.1
2022-01-25 17:40:23.3630,0.162,-0.357,-1.136,-0.61,-0.27,3.39,-0.07,0.58,0.24
2022-01-25 17:40:23.3720,0.165,-0.357,-1.004,-0.78,-0.51,0.61,0.01,0.75,0.53
2022-01-25 17:40:23.3830,0.236,-0.33,-0.883,-0.78,-0.51,0.61,0.02,0.91,0.71
