time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
,0.09,-0.258,-0.933,-0.05,0.29,-0.37,-0.27,-0.35,-0.06
2022-02-09 19:14:52.8670,0.084,-0.257,-0.949,0.05,0.11,-0.21,-0.23,-0.31,-0.06
2022-02-09 19:14:52.8750,0.081,-0.252,-0.966,0.06,0.11,-0.03,-0.18,-0.26,-0.06
2022-02-09 19:14:52.8850,0.079,-0.244,-0.97,0.04,0.04,0.03,-0.13,-0.19,-0.06
2022-02-09 19:14:52.8950,0.074,-0.245,-0.968,0.09,0.04,0.0,-0.08,-0.12,-0.05
2022-02-09 19:14:52.9050,0.077,-0.253,-0.969,0.06,0.12,0.0,-0.04,-0.06,-0.04
2022-02-09 19:14:52.9150,0.076,-0.259,-0.965,0.05,0.18,-0.01,-0.01,-0.0,-0.03
2022-02-09 19:14:52.9250,0.072,-0.263,-0.953,0.08,0.23,-0.12,0.0,0.05,-0.02
2022-02-09 19:14:52.9350,0.071,-0.267,-0.944,0.11,0.27,-0.22,-0.01,0.06,-0.02
2022-02-09 19:14:52.9450,0.075,-0.269,-0.933,0.09,0.29,-0.32,-0.03,0.07,-0.02
2022-02-09 19:14:52.9560,0.081,-0.275,-0.924,0.03,0.34,-0.41,-0.07,0.07,-0.01
2022-02-09 19:14:52.9660,0.086,-0.281,-0.919,-0.01,0.41,-0.48,-0.09,0.07,0.0
2022-02-09 19:14:52.9760,0.092,-0.285,-0.917,-0.05,0.46,-0.5,-0.1,0.09,0.02
2022-02-09 19:14:52.9860,0.097,-0.289,-0.919,-0.1,0.52,-0.49,-0.11,0.11,0.04
2022-02-09 19:14:52.9960,0.103,-0.285,-0.922,-0.15,0.51,-0.47,-0.12,0.12,0.06
2022-02-09 19:14:53.0060,0.109,-0.283,-0.933,-0.21,0.48,-0.39,-0.13,0.11,0.07
2022-02-09 19:14:53.0160,0.114,-0.283,-0.949,-0.24,0.49,-0.23,-0.14,0.1,0.09
2022-02-09 19:14:53.0260,0.121,-0.28,-0.955,-0.3,0.49,-0.15,-0.14,0.09,0.11
2022-02-09 19:14:53.0360,0.119,-0.275,-0.953,-0.3,0.45,-0.15,-0.16,0.1,0.12
2022-02-09 19:14:53.0460,0.114,-0.267,-0.943,-0.24,0.39,-0.24,-0.18,0.1,0.13
2022-02-09 19:14:53.0570,0.113,-0.261,-0.944,-0.22,0.33,-0.27,-0.19,0.09,0.14
2022-02-09 19:14:53.0660,0.115,-0.262,-0.95,-0.22,0.34,-0.21,-0.2,0.09,0.14
2022-02-09 19:14:53.0760,0.114,-0.262,-0.957,-0.22,0.37,-0.15,-0.19,0.08,0.15
2022-02-09 19:14:53.0870,0.118,-0.259,-0.958,-0.23,0.36,-0.13,-0.2,0.07,0.16
2022-02-09 19:14:53.0970,0.126,-0.258,-0.953,-0.31,0.36,-0.16,-0.22,0.04,0.17
2022-02-09 19:14:53.1070,0.13,-0.254,-0.947,-0.36,0.35,-0.24,-0.26,0.01,0.17
2022-02-09 19:14:53.1170,0.13,-0.244,-0.948,-0.37,0.28,-0.25,-0.29,-0.02,0.19
2022-02-09 19:14:53.1270,0.129,-0.238,-0.956,-0.37,0.24,-0.19,-0.29,-0.01,0.2
2022-02-09 19:14:53.1370,0.122,-0.231,-0.96,-0.32,0.2,-0.14,-0.27,0.02,0.2
2022-02-09 19:14:53.1470,0.11,-0.226,-0.959,-0.21,0.17,-0.14,-0.22,0.07,0.2
