
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.066425,-0.0260,0.5540,0.8777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066784,0.0371,0.5542,0.8536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.067088,0.0817,0.5020,0.7780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.086410,0.1083,0.5058,0.6544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.099858,0.1545,0.5639,0.6175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.100956,0.1545,0.5639,0.6175,-0.2677,-0.9769,-1.0698,0.0000,0.0000,0.0000,
0.119488,0.0914,0.6104,0.5419,-0.2677,-0.9769,-1.0698,0.0000,0.0000,0.0000,
0.120356,0.0914,0.6104,0.5419,-0.1955,-1.3064,-1.1597,0.0000,0.0000,0.0000,
0.132025,0.0914,0.6104,0.5419,-0.1955,-1.3064,-1.1597,-0.6527,0.3141,-0.3257,
0.139557,0.0514,0.5889,0.5738,-0.1955,-1.3064,-1.1597,-0.6527,0.3141,-0.3257,
0.140426,0.0514,0.5889,0.5738,-0.1082,-1.2392,-1.2073,-0.6527,0.3141,-0.3257,
0.141991,0.0514,0.5889,0.5738,-0.1082,-1.2392,-1.2073,-0.8024,0.2957,-0.2768,
0.151819,0.0514,0.5889,0.5738,-0.1082,-1.2392,-1.2073,-0.9136,0.4344,-0.1833,
0.159520,0.0818,0.5372,0.5808,-0.1082,-1.2392,-1.2073,-0.9136,0.4344,-0.1833,
0.160372,0.0818,0.5372,0.5808,-0.2070,-1.3586,-1.4689,-0.9136,0.4344,-0.1833,
0.162035,0.0818,0.5372,0.5808,-0.2070,-1.3586,-1.4689,-1.0101,0.6336,-0.0825,
0.171805,0.0818,0.5372,0.5808,-0.2070,-1.3586,-1.4689,-1.1304,0.7221,-0.0086,
0.182295,0.0923,0.4977,0.7660,-0.2070,-1.3586,-1.4689,-1.1304,0.7221,-0.0086,
0.183350,0.0923,0.4977,0.7660,-0.0814,-0.4384,-0.6749,-1.1304,0.7221,-0.0086,
