
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,
0.066079,-0.1604,0.6361,0.8010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066532,-0.2629,0.6441,0.7402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.066899,-0.3017,0.7005,0.5761,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.092274,-0.2166,0.7202,0.7157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.093509,-0.1990,0.7029,0.9993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.094555,-0.1990,0.7029,0.9993,-0.3736,1.3198,1.8765,0.0000,0.0000,0.0000,
0.110590,-0.2165,0.6597,1.4269,-0.3736,1.3198,1.8765,0.0000,0.0000,0.0000,
0.111696,-0.2165,0.6597,1.4269,-0.7836,2.3883,5.1653,0.0000,0.0000,0.0000,
0.128231,-0.2372,0.6157,1.2567,-0.7836,2.3883,5.1653,0.0000,0.0000,0.0000,
0.129325,-0.2372,0.6157,1.2567,-0.6858,1.7798,3.6330,0.0000,0.0000,0.0000,
0.130321,-0.2372,0.6157,1.2567,-0.6858,1.7798,3.6330,0.6973,-0.8227,-0.7093,
0.140270,-0.2372,0.6157,1.2567,-0.6858,1.7798,3.6330,0.8757,-0.4410,-0.7166,
0.148204,-0.2355,0.6137,0.8729,-0.6858,1.7798,3.6330,0.8757,-0.4410,-0.7166,
0.148886,-0.2355,0.6137,0.8729,-0.1944,0.5066,0.7206,0.8757,-0.4410,-0.7166,
0.150643,-0.2355,0.6137,0.8729,-0.1944,0.5066,0.7206,0.8451,-0.3047,-0.7160,
0.160735,-0.2355,0.6137,0.8729,-0.1944,0.5066,0.7206,0.2452,-0.5075,-0.7465,
0.168486,-0.2315,0.6306,0.6674,-0.1944,0.5066,0.7206,0.2452,-0.5075,-0.7465,
0.169889,-0.2315,0.6306,0.6674,0.1288,-0.3508,-0.3713,0.2452,-0.5075,-0.7465,
0.170922,-0.2315,0.6306,0.6674,0.1288,-0.3508,-0.3713,-0.1402,-0.9077,-0.7471,
0.180544,-0.2315,0.6306,0.6674,0.1288,-0.3508,-0.3713,-0.4615,-1.4104,-0.7050,
0.188468,-0.2864,0.5602,0.7968,0.1288,-0.3508,-0.3713,-0.4615,-1.4104,-0.7050,
0.189571,-0.2864,0.5602,0.7968,-0.0403,0.0789,0.1122,-0.4615,-1.4104,-0.7050,
0.191013,-0.2864,0.5602,0.7968,-0.0403,0.0789,0.1122,-0.6790,-1.8551,-0.6231,
0.200570,-0.2864,0.5602,0.7968,-0.0403,0.0789,0.1122,-0.7370,-2.0207,-0.5071,
0.210978,-0.3742,0.4360,1.3241,-0.0403,0.0789,0.1122,-0.7370,-2.0207,-0.5071,
0.212537,-0.3742,0.4360,1.3241,-1.1247,1.3105,3.9802,-0.7370,-2.0207,-0.5071,
0.214029,-0.3742,0.4360,1.3241,-1.1247,1.3105,3.9802,-0.6197,-1.7433,-0.3495,
0.220566,-0.3742,0.4360,1.3241,-1.1247,1.3105,3.9802,-0.4151,-1.1037,-0.1931,
0.228661,-0.2956,0.4063,1.3208,-1.1247,1.3105,3.9802,-0.4151,-1.1037,-0.1931,
0.230422,-0.2956,0.4063,1.3208,-0.8456,1.1622,3.7784,-0.4151,-1.1037,-0.1931,
0.231774,-0.2956,0.4063,1.3208,-0.8456,1.1622,3.7784,-0.1940,-0.4147,-0.0593,
0.240579,-0.2956,0.4063,1.3208,-0.8456,1.1622,3.7784,0.0198,-0.0250,0.0500,
